q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx
27,1,318,"Consider all events involving both Samuel Parker and Job Fair at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Samuel Parker}, {Job Fair})",Times,all,"{'October 09, 2025'}",{87},"{87: 'October 09, 2025'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,22
17,1,2121,"Think about the events involving Flash Mob on April 09, 2026. Provide a list of all protagonists involved in these events, without describing the events.","(t, *, *, c)","({April 09, 2026}, *, *, {Flash Mob})",Entities,all,{'Jackson Ramos'},{98},{98: 'Jackson Ramos'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,23
15,0,4334,"Reflect on what Stella Scott experienced on August 12, 2025. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({August 12, 2025}, *, {Stella Scott}, *)",Event contents,all,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,24
16,"{3,4,5}",1144,"Recall the events related to Tech Hackathon that occurred on March 23, 2024. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({March 23, 2024}, *, *, {Tech Hackathon})",Spaces,all,"{'One World Trade Center', 'Port Jefferson', 'Yankee Stadium'}","{16, 74, 38}","{16: 'Port Jefferson', 38: 'Yankee Stadium', 74: 'One World Trade Center'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,25
27,1,166,"Consider all events involving both Carter Stewart and Parkour Workshop at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Carter Stewart}, {Parkour Workshop})",Times,all,"{'September 13, 2025'}",{56},"{56: 'September 13, 2025'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,26
0,1,1042,"Recall all the events that occurred on May 07, 2024. Without describing the events, list all the unique locations where these events took place.","(t, *, *, *)","({May 07, 2024}, *, *, *)",Spaces,all,{'Hither Hills State Park'},{4},{4: 'Hither Hills State Park'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,27
34,6+,728,List all locations visited by Levi Rodriguez in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Levi Rodriguez}, *)",Spaces,chronological,"['Trinity Church', 'Snug Harbor Cultural Center', 'Snug Harbor Cultural Center', 'One World Trade Center', 'American Museum of Natural History', 'Bethpage Black Course', 'Trinity Church', 'Washington Square Park', 'American Museum of Natural History']","[117, 53, 55, 54, 99, 111, 58, 83, 15]","{15: 'American Museum of Natural History', 53: 'Snug Harbor Cultural Center', 54: 'One World Trade Center', 55: 'Snug Harbor Cultural Center', 58: 'Trinity Church', 83: 'Washington Square Park', 99: 'American Museum of Natural History', 111: 'Bethpage Black Course', 117: 'Trinity Church'}",9,9,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True,original,False,,,28
2,6+,1577,"Reflect on February 27, 2026. Describe all the key events that occurred on this date, focusing on what happened rather than who was involved or where it took place.","(t, *, *, *)","({February 27, 2026}, *, *, *)",Event contents,all,"{'Theater Performance', 'Fashion Show', 'Parkour Workshop', 'Tech Hackathon', 'Ice Sculpture Exhibition', 'Tech Product Launch', 'Fire Dancing Performance'}","{68, 7, 9, 44, 111, 19, 21, 120}","{7: 'Ice Sculpture Exhibition', 9: 'Theater Performance', 19: 'Theater Performance', 21: 'Tech Hackathon', 44: 'Fashion Show', 68: 'Tech Product Launch', 111: 'Parkour Workshop', 120: 'Fire Dancing Performance'}",7,8,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,29
16,1,1078,"Recall the events related to Educational Workshop that occurred on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({April 09, 2026}, *, *, {Educational Workshop})",Spaces,all,{'One World Trade Center'},{104},{104: 'One World Trade Center'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,30
28,1,1510,"Recall what happened involving Scarlett Thomas and Astronomy Night at High Line on April 09, 2026 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2026}, {High Line}, {Scarlett Thomas}, {Astronomy Night})",Other entities,all,"{'Vada Dunning', 'Zyair Batchelor'}",{46},"{46: ['Zyair Batchelor', 'Vada Dunning']}",2,1,set(),,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,31
21,1,2162,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Think about the events involving Photography Exhibition at American Museum of Natural History. List all protagonists involved in these events, without mentioning the events themselves.
B) Consider the location American Museum of Natural History. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
Return two lists: only_in_A and only_in_B.","(*, s, *, c)","(*, {American Museum of Natural History}, *, {Photography Exhibition})",story_diff::set_difference,all,"{""only_in_A"": [], ""only_in_B"": [""Carter Stewart"", ""Chloe Castillo"", ""Julian Ross"", ""Levi Rodriguez"", ""Samuel Parker""]}",,"{""only_in_A"": [], ""only_in_B"": [""Carter Stewart"", ""Chloe Castillo"", ""Julian Ross"", ""Levi Rodriguez"", ""Samuel Parker""]}",1,1,set(),,Spot the Differences,Story-grounded set difference,t|ent,s|c,True,story_synthetic,True,spot_the_differences,Compared q_idx 21 vs 4,32
5,"{3,4,5}",1299,"Recall the various events that have taken place at Statue of Liberty. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Statue of Liberty}, *, *)",Event contents,all,"{'Tech Hackathon', 'Theater Performance', 'Fire Dancing Performance'}","{64, 69, 9, 108, 52}","{9: 'Theater Performance', 52: 'Tech Hackathon', 64: 'Fire Dancing Performance', 69: 'Theater Performance', 108: 'Tech Hackathon'}",3,5,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,33
26,1,542,"Consider the events involving both Benjamin Green and Tech Hackathon on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2026}, *, {Benjamin Green}, {Tech Hackathon})",Spaces,all,{'Snug Harbor Cultural Center'},{14},{14: 'Snug Harbor Cultural Center'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,34
3,1,2004,"Think about all events that have occurred at Long Beach Boardwalk. Provide a list of all dates when these events took place, without describing the events.","(*, s, *, *)","(*, {Long Beach Boardwalk}, *, *)",Times,all,"{'November 13, 2026'}",{37},"{37: 'November 13, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,35
24,0,3897,"Recall what happened involving Lucy Carter at Captree State Park on April 09, 2026. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2026}, {Captree State Park}, {Lucy Carter}, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,36
26,0,3037,"Consider the events involving both Chloe Castillo and Fashion Show on August 17, 2025. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({August 17, 2025}, *, {Chloe Castillo}, {Fashion Show})",Spaces,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,37
27,0,2786,"Consider all events involving both Logan Diaz and Parkour Workshop at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Logan Diaz}, {Parkour Workshop})",Times,all,set(),set(),{},0,0,{'entity'},True,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,38
0,0,3497,"Recall all the events that occurred on February 03, 2024. Without describing the events, list all the unique locations where these events took place.","(t, *, *, *)","({February 03, 2024}, *, *, *)",Spaces,all,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,39
27,0,2844,"Consider all events involving both Skylar Thompson and Car Show at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Skylar Thompson}, {Car Show})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,40
25,0,4608,"Think about the events related to Book Signing Event that occurred at Bethpage State Park on August 24, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({August 24, 2026}, {Bethpage State Park}, *, {Book Signing Event})",Entities,all,set(),set(),{},0,0,"{'content', 'location'}",True,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,41
26,0,3125,"Consider the events involving both Stella Scott and Astronomy Night on August 12, 2025. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({August 12, 2025}, *, {Stella Scott}, {Astronomy Night})",Spaces,all,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,42
29,0,3254,"Provide a comprehensive account of what happened involving Brooklyn Ross and Book Signing Event at Bethpage State Park on August 24, 2026. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({August 24, 2026}, {Bethpage State Park}, {Brooklyn Ross}, {Book Signing Event})",Full event details,all,set(),set(),{},0,0,"{'content', 'location'}",True,Composite,Story full event details,,t|s|ent|c,True,original,False,,,43
2,1,1631,"Reflect on May 07, 2024. Describe all the key events that occurred on this date, focusing on what happened rather than who was involved or where it took place.","(t, *, *, *)","({May 07, 2024}, *, *, *)",Event contents,all,{'Karaoke Night'},{4},{4: 'Karaoke Night'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,44
24,1,1332,"Recall what happened involving Brooklyn Ross at One World Trade Center on April 09, 2026. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2026}, {One World Trade Center}, {Brooklyn Ross}, *)",Event contents,all,{'Educational Workshop'},{104},{104: 'Educational Workshop'},1,1,set(),,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,45
25,1,2255,"Think about the events related to Educational Workshop that occurred at One World Trade Center on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {One World Trade Center}, *, {Educational Workshop})",Entities,all,{'Brooklyn Ross'},{104},{104: 'Brooklyn Ross'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,46
16,0,3534,"Recall the events related to Astronomy Night that occurred on August 12, 2025. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({August 12, 2025}, *, *, {Astronomy Night})",Spaces,all,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,47
13,1,1159,"Recall the key events that occurred at American Museum of Natural History on April 09, 2026. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2026}, {American Museum of Natural History}, *, *)",Event contents,all,{'Theater Performance'},{80},{80: 'Theater Performance'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,48
5,2,1292,"Recall the various events that have taken place at Museum of Modern Art. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Museum of Modern Art}, *, *)",Event contents,all,"{'Tech Product Launch', 'Fashion Show'}","{81, 68}","{68: 'Tech Product Launch', 81: 'Fashion Show'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,49
27,0,2727,"Consider all events involving both Isaiah Evans and Opera Performance at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Isaiah Evans}, {Opera Performance})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,50
12,0,4712,"Think about what happened at American Museum of Natural History on August 17, 2025. List all protagonists involved in any events at this time and place, without describing the events.","(t, s, *, *)","({August 17, 2025}, {American Museum of Natural History}, *, *)",Entities,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,51
4,6+,668,"Consider the location Metropolitan Museum of Art. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.","(*, s, *, *)","(*, {Metropolitan Museum of Art}, *, *)",Entities,all,"{'Carter Stewart', 'Jackson Hall', 'Zoe Brown', 'Samuel Parker', 'Scarlett Thomas'}","{40, 72, 109, 50, 91, 28}","{28: 'Zoe Brown', 40: 'Samuel Parker', 50: 'Carter Stewart', 72: 'Scarlett Thomas', 91: 'Scarlett Thomas', 109: 'Jackson Hall'}",5,6,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,52
2,"{3,4,5}",1595,"Reflect on January 03, 2026. Describe all the key events that occurred on this date, focusing on what happened rather than who was involved or where it took place.","(t, *, *, *)","({January 03, 2026}, *, *, *)",Event contents,all,"{'Debate Tournament', 'Theater Performance', 'Fire Dancing Performance'}","{64, 18, 93, 30}","{18: 'Theater Performance', 30: 'Theater Performance', 64: 'Fire Dancing Performance', 93: 'Debate Tournament'}",3,4,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,53
9,0,3373,"Recall all events related to Antique Auction. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Antique Auction})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,54
4,6+,657,"Consider the location Bethpage Black Course. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.","(*, s, *, *)","(*, {Bethpage Black Course}, *, *)",Entities,all,"{'Logan Diaz', 'Levi Rodriguez', 'Ezra Edwards', 'Bella Brown', 'Zoe Brown', 'Scarlett Thomas'}","{1, 111, 119, 57, 92, 61}","{1: 'Ezra Edwards', 57: 'Zoe Brown', 61: 'Logan Diaz', 92: 'Scarlett Thomas', 111: 'Levi Rodriguez', 119: 'Bella Brown'}",6,6,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,55
24,0,3960,"Recall what happened involving Stella Scott at Grand Central Terminal on August 12, 2025. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({August 12, 2025}, {Grand Central Terminal}, {Stella Scott}, *)",Event contents,all,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,56
25,1,2338,"Think about the events related to Theater Performance that occurred at American Museum of Natural History on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {American Museum of Natural History}, *, {Theater Performance})",Entities,all,{'Samuel Parker'},{80},{80: 'Samuel Parker'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,57
7,2,379,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events that Olivia Turner has been involved in. List all the locations where these events took place, without mentioning the events themselves."". Remove ""Trinity Church"" from that answer. Return only the remaining items.","(*, *, ent, *)","(*, *, {Olivia Turner}, *)",story_edit::remove_one,all,{'Williamsburg Bridge'},,{'remaining_items': ['Williamsburg Bridge']},2,2,set(),,Recall and Edit,Story-grounded remove-one edit,t|s|c,ent,True,story_synthetic,True,recall_and_edit,Removed item: Trinity Church,58
13,0,3648,"Recall the key events that occurred at Captree State Park on April 09, 2026. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2026}, {Captree State Park}, *, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,59
1,"{3,4,5}",408,"Consider all events that happened on October 12, 2024. Provide a list of all protagonists involved in any of these events, without describing the events themselves.","(t, *, *, *)","({October 12, 2024}, *, *, *)",Entities,all,"{'Julian Ross', 'Samuel Parker', 'Zoe Brown'}","{33, 28, 102}","{28: 'Zoe Brown', 33: 'Samuel Parker', 102: 'Julian Ross'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,60
9,0,3393,"Recall all events related to Car Show. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Car Show})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,61
24,1,1395,"Recall what happened involving Jackson Ramos at Ellis Island on April 09, 2026. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2026}, {Ellis Island}, {Jackson Ramos}, *)",Event contents,all,{'Flash Mob'},{98},{98: 'Flash Mob'},1,1,set(),,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,62
25,0,4598,"Think about the events related to Antique Auction that occurred at Captree State Park on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {Captree State Park}, *, {Antique Auction})",Entities,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,63
19,0,4095,"Reflect on Zoe Brown's experiences at Bethpage State Park. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred.","(*, s, ent, *)","(*, {Bethpage State Park}, {Zoe Brown}, *)",Event contents,all,set(),set(),{},0,0,{'location'},True,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,64
23,"{3,4,5}",1844,"Reflect on the experiences of Zoe Brown related to Tech Hackathon. List all the unique locations where these events took place, without mentioning the events themselves.","(*, *, ent, c)","(*, *, {Zoe Brown}, {Tech Hackathon})",Spaces,all,"{'One World Trade Center', 'High Line', 'Port Jefferson', 'Statue of Liberty'}","{16, 17, 108, 41}","{16: 'Port Jefferson', 17: 'High Line', 41: 'One World Trade Center', 108: 'Statue of Liberty'}",4,4,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,65
22,0,2670,"Consider all events involving both Bella Brown and 3D Printing Workshop. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Bella Brown}, {3D Printing Workshop})",Times,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,66
7,"{3,4,5}",374,"Consider all events that Logan Diaz has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Spaces,all,"{'Bethpage Black Course', 'High Line', 'The Vessel at Hudson Yards'}","{61, 5, 86}","{5: 'High Line', 61: 'Bethpage Black Course', 86: 'The Vessel at Hudson Yards'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True,original,False,,,67
