q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx,original_minerva_category
32,0,2690,What was Daniel Lopez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Daniel Lopez}, *)",Event contents,latest,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,35,
21,1,1193,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Think about the events involving digital afterlife server shutdown at Barnard's Star Propulsion Lab. List all protagonists involved in these events, without mentioning the events themselves.
B) Recall all events related to vacuum seal deterioration that occurred at Dyson Swarm Control. Provide a list of all dates when these events took place, without describing the events.
Return the intersection.","(*, s, *, c)","(*, {Barnard's Star Propulsion Lab}, *, {digital afterlife server shutdown})",story_compare::intersection,all,set(),,{'shared_items': []},1,1,set(),,Match and Compare,Story synthetic match_and_compare,t|ent,s|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,36,Search
17,1,1241,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Think about the events involving plasma conduit rupture on December 03, 2226. Provide a list of all protagonists involved in these events, without describing the events.","(t, *, *, c)","({December 03, 2226}, *, *, {plasma conduit rupture})",story_state::latest_chapter,latest,24,,{'latest_chapter': 24},1,1,set(),,Stateful Processing,Story synthetic stateful_processing,s|ent,t|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,37,Search
22,1,68,"Consider all events involving both Benjamin Green and cryo-pod integrity breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Benjamin Green}, {cryo-pod integrity breach})",Times,all,"{'April 09, 2226'}",{14},"{14: 'April 09, 2226'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,38,
0,2,601,"Story recall-and-edit: Start from the answer to this story query: ""Recall all the events that occurred on May 28, 2225. Without describing the events, list all the unique locations where these events took place."". Remove ""Hydra Cloud Facility"" from that answer. Return only the remaining items.","(t, *, *, *)","({May 28, 2225}, *, *, *)",story_edit::remove_one,all,{'Mercury Twilight Observatory'},,{'remaining_items': ['Mercury Twilight Observatory']},2,2,set(),,Recall and Edit,Story-grounded remove-one edit,s|ent|c,t,True,story_synthetic,True,recall_and_edit,Removed item: Hydra Cloud Facility,39,
5,0,2077,"Story recall-and-edit: For query ""Recall the various events that have taken place at Ariel Biotech Complex. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved."", return an empty answer.","(*, s, *, *)","(*, {Ariel Biotech Complex}, *, *)",story_edit::empty,all,set(),,{'remaining_items': []},0,0,"{'content', 'date', 'location', 'entity'}",False,Recall and Edit,Story synthetic recall_and_edit,t|ent|c,s,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,40,Search
29,0,1862,"Provide a comprehensive account of what happened involving Jaxon Howard and cosmic string vibration at Makemake Station on August 12, 2225. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({August 12, 2225}, {Makemake Station}, {Jaxon Howard}, {cosmic string vibration})",Full event details,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Composite,Story full event details,,t|s|ent|c,True,original,False,,,41,
26,0,1709,"Consider the events involving both Chloe Castillo and tachyon field surge on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Chloe Castillo}, {tachyon field surge})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,42,
18,1,53,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Consider all events involving Zoe Brown at Dyson Swarm Control. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Dyson Swarm Control}, {Zoe Brown}, *)",story_state::latest_chapter,latest,4,,{'latest_chapter': 4},1,1,set(),,Stateful Processing,Story synthetic stateful_processing,t|c,s|ent,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,43,Search
14,0,1656,"Story composite task: Use two story queries.
A) Consider the events involving Chloe Castillo on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, *, ent, *)","({April 09, 2226}, *, {Chloe Castillo}, *)",story_composite::difference_then_sort,all,[],,"{""remaining_sorted"": []}",0,0,"{'content', 'entity'}",True,Composite,Story synthetic composite,s|c,t|ent,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,44,Search
10,"{3,4,5}",185,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider all events involving matter synthesizer overload. List all the locations where these events took place, without mentioning the events themselves.
B) Story composite task: Use two story queries.
A) Reflect on events related to hyperspace beacon failure. Provide a list of all protagonists involved in these events, without describing the events.
B) Consider all events involving atmospheric scrubber failure. List all the locations where these events took place, without mentioning the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.
Return only_in_A and only_in_B.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",story_diff::set_difference,all,"{""only_in_A"": [""Mercury Twilight Observatory"", ""TRAPPIST-1 Colony Network"", ""Triton Gas Colony""], ""only_in_B"": [""Mila Gonzalez""]}",,"{""only_in_A"": [""Mercury Twilight Observatory"", ""TRAPPIST-1 Colony Network"", ""Triton Gas Colony""], ""only_in_B"": [""Mila Gonzalez""]}",3,3,set(),,Spot the Differences,Story synthetic spot_the_differences,t|s|ent,c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,45,Search
