q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx,original_minerva_category
28,0,2110,"Recall what happened involving Chloe Castillo and wind farm destruction at Nairobi County on April 09, 2026 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2026}, {Nairobi County}, {Chloe Castillo}, {wind farm destruction})",Other entities,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,27,
9,1,509,"Story spot-the-differences: Compare answers of these two story queries.
A) Recall all events related to air quality emergency. Provide a list of all dates when these events occurred, without describing the events.
B) Reflect on events related to magnitude 9.0 earthquake. Provide a list of all protagonists involved in these events, without describing the events.
Return only_in_A and only_in_B.","(*, *, *, c)","(*, *, *, {air quality emergency})",story_diff::set_difference,all,"{""only_in_A"": [""September 03, 2026""], ""only_in_B"": [""Carter Stewart"", ""Levi Rodriguez""]}",,"{""only_in_A"": [""September 03, 2026""], ""only_in_B"": [""Carter Stewart"", ""Levi Rodriguez""]}",1,1,set(),,Spot the Differences,Story synthetic spot_the_differences,t|s|ent,c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,28,Search
26,0,1735,"Story composite task: Use two story queries.
A) Consider the events involving both Lily Nguyen and water supply contamination on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Lily Nguyen and residential tower fire on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, *, ent, c)","({April 09, 2026}, *, {Lily Nguyen}, {water supply contamination})",story_composite::difference_then_sort,all,[],,"{""remaining_sorted"": []}",0,0,{'content'},False,Composite,Story synthetic composite,s,t|ent|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,29,Search
11,2,983,"Story recall-and-edit: Start from the answer to this story query: ""Reflect on events related to produce contamination outbreak. Provide a list of all protagonists involved in these events, without describing the events."". Remove ""Lillian Mendoza"" from the answer. Return only the remaining items.","(*, *, *, c)","(*, *, *, {produce contamination outbreak})",story_edit::remove_one,all,{'Zoe Brown'},,{'remaining_items': ['Zoe Brown']},2,2,set(),,Recall and Edit,Story synthetic recall_and_edit,t|s|ent,c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,30,Search
19,1,872,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on Carter Stewart's experiences at Buenos Aires Province. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred.","(*, s, ent, *)","(*, {Buenos Aires Province}, {Carter Stewart}, *)",story_state::latest_chapter,latest,30,,{'latest_chapter': 30},1,1,set(),,Stateful Processing,Story synthetic stateful_processing,t|c,s|ent,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,31,Search
16,0,2023,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Recall the events related to wind farm destruction that occurred on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({April 09, 2026}, *, *, {wind farm destruction})",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,"{'content', 'entity'}",True,Stateful Processing,Story synthetic stateful_processing,s|ent,t|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,32,Search
16,1,639,"Story composite task: Use two story queries.
A) Recall the events related to residential tower fire that occurred on February 27, 2026. List all the locations where these events took place, without describing the events themselves.
B) Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Recall the events related to wind farm destruction that occurred on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, *, *, c)","({February 27, 2026}, *, *, {residential tower fire})",story_composite::difference_then_sort,all,"[""Rajasthan""]",,"{""remaining_sorted"": [""Rajasthan""]}",1,1,set(),,Composite,Story synthetic composite,s|ent,t|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,33,Search
29,1,482,"Provide a comprehensive account of what happened involving Lily Nguyen and residential tower fire at Minas Gerais on April 09, 2026. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({April 09, 2026}, {Minas Gerais}, {Lily Nguyen}, {residential tower fire})",Full event details,all,{'Full chapter 23'},{23},{23: ['Full chapter 23']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,34,
21,1,1177,"Story composite task: Use two story queries.
A) Think about the events involving flash flood emergency at Buenos Aires Province. List all protagonists involved in these events, without mentioning the events themselves.
B) Recall all events related to flash flood emergency that occurred at Auckland Region. Provide a list of all dates when these events took place, without describing the events.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, s, *, c)","(*, {Buenos Aires Province}, *, {flash flood emergency})",story_composite::difference_then_sort,all,"[""Julian Ross""]",,"{""remaining_sorted"": [""Julian Ross""]}",1,1,set(),,Composite,Story synthetic composite,t|ent,s|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,35,Search
20,0,1912,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Recall all events related to flash flood emergency that occurred at Auckland Region. Provide a list of all dates when these events took place, without describing the events.","(*, s, *, c)","(*, {Auckland Region}, *, {flash flood emergency})",story_compute::sort_items,chronological,[],,"{""sorted_items"": []}",0,0,"{'date', 'location'}",False,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,t|ent,s|c,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,36,Search
15,1,1096,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2026. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({April 09, 2026}, *, {Scarlett Thomas}, *)",story_compute::sort_items,chronological,"[""factory explosion""]",,"{""sorted_items"": [""factory explosion""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,s|c,t|ent,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,37,Search
4,1,359,"Story recall-and-edit: Start from the answer to this story query: ""Consider the location Antioquia Department. List all protagonists that have been involved in any events at this location, without mentioning the events themselves."". Remove ""Henry Reed"" from the answer. Return only the remaining items.","(*, s, *, *)","(*, {Antioquia Department}, *, *)",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,t|ent|c,s,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,38,Search
28,1,767,"Recall what happened involving Ezra Edwards and flash flood emergency at Ontario on December 03, 2026 and list only who else was involved (if anyone).","(t, s, ent, c)","({December 03, 2026}, {Ontario}, {Ezra Edwards}, {flash flood emergency})",Other entities,all,set(),{24},{24: []},0,1,set(),,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,39,
24,1,769,"Story composite task: Use two story queries.
A) Recall what happened involving Ezra Edwards at Ontario on December 03, 2026. Describe the key events or activities that occurred, focusing on what happened.
B) Recall what happened involving Scarlett Thomas at Greater Mumbai on April 09, 2026. Describe the key events or activities that occurred, focusing on what happened.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, s, ent, *)","({December 03, 2026}, {Ontario}, {Ezra Edwards}, *)",story_composite::difference_then_sort,all,"[""flash flood emergency""]",,"{""remaining_sorted"": [""flash flood emergency""]}",1,1,set(),,Composite,Story synthetic composite,c,t|s|ent,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,40,Search
32,"{3,4,5}",1435,What was Levi Rodriguez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Levi Rodriguez}, *)",Event contents,latest,['factory explosion'],[15],{15: 'factory explosion'},1,5,set(),,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,41,
18,0,1456,"Story recall-and-edit: For query ""Consider all events involving Ella Ross at Alberta. Provide a list of all dates when these events occurred, without describing the events."", return an empty answer.","(*, s, ent, *)","(*, {Alberta}, {Ella Ross}, *)",story_edit::empty,all,set(),,{'remaining_items': []},0,0,"{'content', 'date', 'location', 'entity'}",False,Recall and Edit,Story synthetic recall_and_edit,t|c,s|ent,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,42,Search
35,0,1774,"Enumerate all activities that Ellie Garcia has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Ellie Garcia}, *)",Event contents,chronological,set(),set(),{},0,0,{'entity'},False,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True,original,False,,,43,
12,1,1362,"Think about what happened at Ontario on December 03, 2026. List all protagonists involved in any events at this time and place, without describing the events.","(t, s, *, *)","({December 03, 2026}, {Ontario}, *, *)",Entities,all,{'Ezra Edwards'},{24},{24: 'Ezra Edwards'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,44,
18,1,22,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events involving Julian Ross at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events."". Remove ""May 14, 2025"" from the answer. Return only the remaining items.","(*, s, ent, *)","(*, {Buenos Aires Province}, {Julian Ross}, *)",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,t|c,s|ent,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,45,Search
14,1,249,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the events involving Ezra Edwards on December 03, 2026. List all the locations where these events took place, without describing the events themselves.
B) Reflect on what Scarlett Thomas experienced on April 09, 2026. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Return only_in_A and only_in_B.","(t, *, ent, *)","({December 03, 2026}, *, {Ezra Edwards}, *)",story_diff::set_difference,all,"{""only_in_A"": [""Ontario""], ""only_in_B"": [""factory explosion""]}",,"{""only_in_A"": [""Ontario""], ""only_in_B"": [""factory explosion""]}",1,1,set(),,Spot the Differences,Story synthetic spot_the_differences,s|c,t|ent,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,46,Search
26,0,1706,"Consider the events involving both Chloe Castillo and wind farm destruction on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2026}, *, {Chloe Castillo}, {wind farm destruction})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,47,
20,0,1890,"Story spot-the-differences: Compare answers of these two story queries.
A) Recall all events related to airport customs breach that occurred at Auckland Region. Provide a list of all dates when these events took place, without describing the events.
B) Story recall-and-edit: For query ""Think about the events involving flash flood emergency at Auckland Region. List all protagonists involved in these events, without mentioning the events themselves."", return an empty answer.
Return only_in_A and only_in_B.","(*, s, *, c)","(*, {Auckland Region}, *, {airport customs breach})",story_diff::set_difference,all,"{""only_in_A"": [], ""only_in_B"": []}",,"{""only_in_A"": [], ""only_in_B"": []}",0,0,"{'location', 'content', 'entity', 'date'}",False,Spot the Differences,Story synthetic spot_the_differences,t|ent,s|c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,48,Search
