q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
10,1,167,"Consider all events involving communication array blackout. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {communication array blackout})",Spaces,all,{'Luna Copernicus Station'},{19},{19: 'Luna Copernicus Station'},1,1,set(),
10,1,172,"Consider all events involving hyperspace beacon failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Spaces,all,{'Europa Subsurface Laboratory'},{21},{21: 'Europa Subsurface Laboratory'},1,1,set(),
10,1,174,"Consider all events involving ion storm interference. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {ion storm interference})",Spaces,all,{'Ross 128 Agricultural Station'},{26},{26: 'Ross 128 Agricultural Station'},1,1,set(),
10,1,176,"Consider all events involving main power grid overload. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {main power grid overload})",Spaces,all,{'Mercury Twilight Observatory'},{5},{5: 'Mercury Twilight Observatory'},1,1,set(),
9,"{3,4,5}",493,"Recall all events related to antimatter cascade. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Times,all,"{'February 27, 2226', 'September 27, 2225', 'October 12, 2224', 'January 03, 2226'}","{32, 9, 18, 24, 29}","{9: 'February 27, 2226', 18: 'February 27, 2226', 24: 'September 27, 2225', 29: 'January 03, 2226', 32: 'October 12, 2224'}",4,5,set(),
9,"{3,4,5}",517,"Recall all events related to digital afterlife server shutdown. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Times,all,"{'September 27, 2225', 'May 11, 2226', 'September 13, 2225'}","{8, 1, 12, 53}","{1: 'September 13, 2225', 8: 'September 27, 2225', 12: 'May 11, 2226', 53: 'September 13, 2225'}",3,4,set(),
9,"{3,4,5}",540,"Recall all events related to matter synthesizer overload. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Times,all,"{'October 27, 2224', 'October 13, 2224'}","{10, 28, 39}","{10: 'October 13, 2224', 28: 'October 27, 2224', 39: 'October 13, 2224'}",2,3,set(),
9,"{3,4,5}",549,"Recall all events related to plasma conduit rupture. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Times,all,"{'December 03, 2226', 'May 11, 2226', 'May 14, 2225'}","{48, 37, 23}","{23: 'December 03, 2226', 37: 'May 11, 2226', 48: 'May 14, 2225'}",3,3,set(),
9,"{3,4,5}",557,"Recall all events related to subspace antenna failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Times,all,"{'May 11, 2226', 'October 12, 2224', 'December 26, 2226', 'April 09, 2226'}","{40, 43, 46, 15, 27}","{15: 'December 26, 2226', 27: 'October 12, 2224', 40: 'May 11, 2226', 43: 'April 09, 2226', 46: 'December 26, 2226'}",4,5,set(),
10,"{3,4,5}",57,"Consider all events involving antimatter cascade. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Spaces,all,"{'Mars Valles Industrial Hub', 'Phobos Military Base', 'Luna Shackleton Crater Colony', 'McKendree Shell Base', 'Mercury Twilight Observatory'}","{32, 9, 18, 24, 29}","{9: 'Mars Valles Industrial Hub', 18: 'Mercury Twilight Observatory', 24: 'Luna Shackleton Crater Colony', 29: 'Phobos Military Base', 32: 'McKendree Shell Base'}",5,5,set(),
10,"{3,4,5}",170,"Consider all events involving digital afterlife server shutdown. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Spaces,all,"{""Barnard's Star Propulsion Lab"", 'Hydra Cloud Facility', 'Triton Gas Colony', 'Mercury Twilight Observatory'}","{8, 1, 12, 53}","{1: ""Barnard's Star Propulsion Lab"", 8: 'Hydra Cloud Facility', 12: 'Mercury Twilight Observatory', 53: 'Triton Gas Colony'}",4,4,set(),
10,"{3,4,5}",177,"Consider all events involving matter synthesizer overload. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Spaces,all,"{'Mercury Twilight Observatory', 'TRAPPIST-1 Colony Network', 'Triton Gas Colony'}","{10, 28, 39}","{10: 'TRAPPIST-1 Colony Network', 28: 'Triton Gas Colony', 39: 'Mercury Twilight Observatory'}",3,3,set(),
10,"{3,4,5}",180,"Consider all events involving plasma conduit rupture. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Spaces,all,"{'Luna Oceanus Trading Post', 'Phobos Military Base', 'Titania Quantum Lab'}","{48, 37, 23}","{23: 'Titania Quantum Lab', 37: 'Luna Oceanus Trading Post', 48: 'Phobos Military Base'}",3,3,set(),
10,"{3,4,5}",182,"Consider all events involving subspace antenna failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Spaces,all,"{'Triton Gas Colony', 'Ross 128 Agricultural Station', 'Luna Oceanus Trading Post', 'Europa Subsurface Laboratory', 'Mercury Twilight Observatory'}","{40, 43, 46, 15, 27}","{15: 'Triton Gas Colony', 27: 'Luna Oceanus Trading Post', 40: 'Ross 128 Agricultural Station', 43: 'Mercury Twilight Observatory', 46: 'Europa Subsurface Laboratory'}",5,5,set(),
11,"{3,4,5}",932,"Reflect on events related to antimatter cascade. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Entities,all,"{'Jackson Ramos', 'Samuel Parker', 'Carter Stewart', 'Mila Gonzalez'}","{32, 9, 18, 24, 29}","{9: 'Mila Gonzalez', 18: 'Jackson Ramos', 24: 'Samuel Parker', 29: 'Carter Stewart', 32: 'Samuel Parker'}",4,5,set(),
11,"{3,4,5}",938,"Reflect on events related to digital afterlife server shutdown. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Entities,all,"{'Ezra Edwards', 'Owen Thomas', 'Carter Stewart', 'Chloe Castillo'}","{8, 1, 12, 53}","{1: 'Ezra Edwards', 8: 'Owen Thomas', 12: 'Chloe Castillo', 53: 'Carter Stewart'}",4,4,set(),
11,"{3,4,5}",945,"Reflect on events related to matter synthesizer overload. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Entities,all,"{'Brooklyn Ross', 'Julian Ross', 'Henry Reed'}","{10, 28, 39}","{10: 'Henry Reed', 28: 'Julian Ross', 39: 'Brooklyn Ross'}",3,3,set(),
11,"{3,4,5}",948,"Reflect on events related to plasma conduit rupture. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Entities,all,"{'Ezra Edwards', 'Samuel Parker', 'Julian Ross'}","{48, 37, 23}","{23: 'Ezra Edwards', 37: 'Samuel Parker', 48: 'Julian Ross'}",3,3,set(),
11,"{3,4,5}",950,"Reflect on events related to subspace antenna failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Entities,all,"{'Zoe Brown', 'Levi Rodriguez', 'Scarlett Thomas', 'Bella Alvarez'}","{40, 43, 46, 15, 27}","{15: 'Levi Rodriguez', 27: 'Zoe Brown', 40: 'Bella Alvarez', 43: 'Scarlett Thomas', 46: 'Zoe Brown'}",4,5,set(),
11,2,933,"Reflect on events related to artificial atmosphere toxicity. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Entities,all,"{'Benjamin Green', 'Henry Reed'}","{11, 7}","{7: 'Benjamin Green', 11: 'Henry Reed'}",2,2,set(),
11,2,934,"Reflect on events related to atmospheric scrubber failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Entities,all,"{'Levi Rodriguez', 'Carter Stewart'}","{52, 47}","{47: 'Carter Stewart', 52: 'Levi Rodriguez'}",2,2,set(),
11,2,937,"Reflect on events related to crystalline matrix shatter. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Entities,all,"{'Noah Williams', 'Mila Gonzalez'}","{25, 57}","{25: 'Mila Gonzalez', 57: 'Noah Williams'}",2,2,set(),
11,2,941,"Reflect on events related to inertial dampener malfunction. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Entities,all,{'Levi Rodriguez'},"{51, 55}","{51: 'Levi Rodriguez', 55: 'Levi Rodriguez'}",1,2,set(),
11,2,943,"Reflect on events related to magnetic confinement rupture. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Entities,all,{'Henry Reed'},"{44, 45}","{44: 'Henry Reed', 45: 'Henry Reed'}",1,2,set(),
9,2,495,"Recall all events related to artificial atmosphere toxicity. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Times,all,"{'February 27, 2226', 'May 11, 2226'}","{11, 7}","{7: 'February 27, 2226', 11: 'May 11, 2226'}",2,2,set(),
9,2,498,"Recall all events related to atmospheric scrubber failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Times,all,"{'May 28, 2225', 'September 22, 2226'}","{52, 47}","{47: 'September 22, 2226', 52: 'May 28, 2225'}",2,2,set(),
9,2,512,"Recall all events related to crystalline matrix shatter. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Times,all,"{'June 14, 2225'}","{25, 57}","{25: 'June 14, 2225', 57: 'June 14, 2225'}",1,2,set(),
9,2,529,"Recall all events related to inertial dampener malfunction. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Times,all,"{'June 14, 2225', 'May 11, 2226'}","{51, 55}","{51: 'June 14, 2225', 55: 'May 11, 2226'}",2,2,set(),
9,2,534,"Recall all events related to magnetic confinement rupture. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Times,all,"{'May 28, 2225', 'March 23, 2225'}","{44, 45}","{44: 'March 23, 2225', 45: 'May 28, 2225'}",2,2,set(),
10,2,58,"Consider all events involving artificial atmosphere toxicity. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Spaces,all,{'Europa Subsurface Laboratory'},"{11, 7}","{7: 'Europa Subsurface Laboratory', 11: 'Europa Subsurface Laboratory'}",1,2,set(),
10,2,59,"Consider all events involving atmospheric scrubber failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Spaces,all,"{'Hydra Cloud Facility', 'Luna Oceanus Trading Post'}","{52, 47}","{47: 'Luna Oceanus Trading Post', 52: 'Hydra Cloud Facility'}",2,2,set(),
10,2,169,"Consider all events involving crystalline matrix shatter. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Spaces,all,"{'Sedna Long Range Observatory', 'Naiad Oceanographic Center'}","{25, 57}","{25: 'Sedna Long Range Observatory', 57: 'Naiad Oceanographic Center'}",2,2,set(),
10,2,173,"Consider all events involving inertial dampener malfunction. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Spaces,all,"{'Luna Shackleton Crater Colony', 'Naiad Oceanographic Center'}","{51, 55}","{51: 'Luna Shackleton Crater Colony', 55: 'Naiad Oceanographic Center'}",2,2,set(),
10,2,175,"Consider all events involving magnetic confinement rupture. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Spaces,all,"{'Luna Shackleton Crater Colony', 'Mercury Twilight Observatory'}","{44, 45}","{44: 'Luna Shackleton Crater Colony', 45: 'Mercury Twilight Observatory'}",2,2,set(),
10,0,1513,"Consider all events involving chemical storage leak. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {chemical storage leak})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
10,0,1514,"Consider all events involving cosmic intelligence contact. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
10,0,1515,"Consider all events involving cosmic string vibration. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Spaces,all,set(),set(),{},0,0,{'content'},False
10,0,1516,"Consider all events involving database corruption event. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {database corruption event})",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
10,0,1517,"Consider all events involving dyson field harmonics failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {dyson field harmonics failure})",Spaces,all,set(),set(),{},0,0,"{'content', 'date'}",False
9,0,1809,"Recall all events related to chemical storage leak. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {chemical storage leak})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
9,0,1812,"Recall all events related to cosmic intelligence contact. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
9,0,1814,"Recall all events related to cosmic string vibration. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Times,all,set(),set(),{},0,0,{'content'},False
9,0,1817,"Recall all events related to database corruption event. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {database corruption event})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
9,0,1821,"Recall all events related to dyson field harmonics failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {dyson field harmonics failure})",Times,all,set(),set(),{},0,0,"{'content', 'date'}",False
11,0,2189,"Reflect on events related to chemical storage leak. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {chemical storage leak})",Entities,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
11,0,2190,"Reflect on events related to cosmic intelligence contact. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Entities,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
11,0,2191,"Reflect on events related to cosmic string vibration. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Entities,all,set(),set(),{},0,0,{'content'},False
11,0,2192,"Reflect on events related to database corruption event. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {database corruption event})",Entities,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
11,0,2193,"Reflect on events related to dyson field harmonics failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {dyson field harmonics failure})",Entities,all,set(),set(),{},0,0,"{'content', 'date'}",False
11,6+,936,"Reflect on events related to cryo-pod integrity breach. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Entities,all,"{'Benjamin Green', 'Lucy Carter', 'Levi Rodriguez', 'Julian Ross', 'Zoe Brown', 'Henry Reed'}","{36, 6, 38, 14, 16, 17, 49, 50, 20}","{6: 'Julian Ross', 14: 'Benjamin Green', 16: 'Zoe Brown', 17: 'Zoe Brown', 20: 'Julian Ross', 36: 'Henry Reed', 38: 'Zoe Brown', 49: 'Lucy Carter', 50: 'Levi Rodriguez'}",6,9,set(),
11,6+,939,"Reflect on events related to fusion core breach. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {fusion core breach})",Entities,all,"{'Lillian Mendoza', 'Hazel Lewis', 'Julian Ross', 'Chloe Castillo', 'Lily Nguyen', 'Henry Reed'}","{2, 35, 41, 22, 56, 31}","{2: 'Chloe Castillo', 22: 'Lily Nguyen', 31: 'Julian Ross', 35: 'Henry Reed', 41: 'Hazel Lewis', 56: 'Lillian Mendoza'}",6,6,set(),
9,6+,509,"Recall all events related to cryo-pod integrity breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Times,all,"{'November 13, 2226', 'April 09, 2226', 'January 26, 2225', 'March 23, 2224', 'February 27, 2226', 'June 14, 2225', 'July 25, 2224', 'May 31, 2224'}","{36, 6, 38, 14, 16, 17, 49, 50, 20}","{6: 'May 31, 2224', 14: 'April 09, 2226', 16: 'March 23, 2224', 17: 'June 14, 2225', 20: 'February 27, 2226', 36: 'March 23, 2224', 38: 'January 26, 2225', 49: 'November 13, 2226', 50: 'July 25, 2224'}",8,9,set(),
9,6+,524,"Recall all events related to fusion core breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {fusion core breach})",Times,all,"{'November 13, 2226', 'April 09, 2226', 'September 22, 2226', 'September 13, 2225', 'February 27, 2226'}","{2, 35, 41, 22, 56, 31}","{2: 'September 22, 2226', 22: 'April 09, 2226', 31: 'September 22, 2226', 35: 'November 13, 2226', 41: 'February 27, 2226', 56: 'September 13, 2225'}",5,6,set(),
10,6+,168,"Consider all events involving cryo-pod integrity breach. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Spaces,all,"{'Mars Valles Industrial Hub', 'Phobos Military Base', 'Eridani Metallurgy Complex', 'Luna Shackleton Crater Colony', 'Ross 128 Agricultural Station', 'Hydra Cloud Facility', 'Nereid Weather Station', 'Mercury Twilight Observatory'}","{36, 6, 38, 14, 16, 17, 49, 50, 20}","{6: 'Nereid Weather Station', 14: 'Hydra Cloud Facility', 16: 'Eridani Metallurgy Complex', 17: 'Mercury Twilight Observatory', 20: 'Ross 128 Agricultural Station', 36: 'Phobos Military Base', 38: 'Luna Shackleton Crater Colony', 49: 'Mars Valles Industrial Hub', 50: 'Hydra Cloud Facility'}",8,9,set(),
10,6+,171,"Consider all events involving fusion core breach. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {fusion core breach})",Spaces,all,"{'Stanford Torus Prime', 'Triton Gas Colony', 'Phobos Military Base', 'Sedna Long Range Observatory', 'Luna Shackleton Crater Colony', 'Mercury Twilight Observatory'}","{2, 35, 41, 22, 56, 31}","{2: 'Triton Gas Colony', 22: 'Sedna Long Range Observatory', 31: 'Mercury Twilight Observatory', 35: 'Stanford Torus Prime', 41: 'Luna Shackleton Crater Colony', 56: 'Phobos Military Base'}",6,6,set(),
31,0,2537,What is the most recent location where Ava Morris was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Ava Morris}, *)",Spaces,latest,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
31,0,2538,What is the most recent location where Brooklyn Sanders was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Brooklyn Sanders}, *)",Spaces,latest,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
31,0,2539,What is the most recent location where Caleb Perez was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Caleb Perez}, *)",Spaces,latest,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
31,0,2540,What is the most recent location where Charles Castillo was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Charles Castillo}, *)",Spaces,latest,set(),set(),{},0,0,{'entity'},False
31,0,2541,What is the most recent location where Elizabeth Hill was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Elizabeth Hill}, *)",Spaces,latest,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
7,0,1532,"Consider all events that Ava Morris has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Ava Morris}, *)",Spaces,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
7,0,1533,"Consider all events that Brooklyn Sanders has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Brooklyn Sanders}, *)",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
7,0,1534,"Consider all events that Caleb Perez has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Caleb Perez}, *)",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
7,0,1535,"Consider all events that Charles Castillo has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Charles Castillo}, *)",Spaces,all,set(),set(),{},0,0,{'entity'},False
7,0,1536,"Consider all events that Elizabeth Hill has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Elizabeth Hill}, *)",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
35,0,1689,"Enumerate all activities that Ava Morris has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Ava Morris}, *)",Event contents,chronological,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
35,0,1690,"Enumerate all activities that Brooklyn Sanders has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Brooklyn Sanders}, *)",Event contents,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
35,0,1691,"Enumerate all activities that Caleb Perez has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Caleb Perez}, *)",Event contents,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
35,0,1692,"Enumerate all activities that Charles Castillo has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Charles Castillo}, *)",Event contents,chronological,set(),set(),{},0,0,{'entity'},False
35,0,1693,"Enumerate all activities that Elizabeth Hill has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Elizabeth Hill}, *)",Event contents,chronological,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
34,0,1709,List all locations visited by Ava Morris in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Ava Morris}, *)",Spaces,chronological,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
34,0,1710,List all locations visited by Brooklyn Sanders in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Brooklyn Sanders}, *)",Spaces,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
34,0,1711,List all locations visited by Caleb Perez in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Caleb Perez}, *)",Spaces,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
34,0,1712,List all locations visited by Charles Castillo in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Charles Castillo}, *)",Spaces,chronological,set(),set(),{},0,0,{'entity'},False
34,0,1713,List all locations visited by Elizabeth Hill in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Elizabeth Hill}, *)",Spaces,chronological,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
33,0,1729,"Provide a chronological list of all dates when Ava Morris was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Ava Morris}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
33,0,1730,"Provide a chronological list of all dates when Brooklyn Sanders was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Brooklyn Sanders}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
33,0,1731,"Provide a chronological list of all dates when Caleb Perez was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Caleb Perez}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'date', 'entity'}",False
33,0,1732,"Provide a chronological list of all dates when Charles Castillo was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Charles Castillo}, *)",Times,chronological,set(),set(),{},0,0,{'entity'},False
33,0,1733,"Provide a chronological list of all dates when Elizabeth Hill was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Elizabeth Hill}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False
6,0,2169,"Reflect on all events involving Ava Morris. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, *)","(*, *, {Ava Morris}, *)",Times,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
