q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
10,6+,60,"Consider all events involving antimatter cascade. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Spaces,all,"{'Mercury Twilight Observatory', 'Nereid Weather Station', 'Mars Valles Industrial Hub', 'Neptune Storm Harvester', 'Phobos Military Base', 'McKendree Shell Base', 'Luna Shackleton Crater Colony'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'Mars Valles Industrial Hub', 18: 'Neptune Storm Harvester', 19: 'Mercury Twilight Observatory', 25: 'Luna Shackleton Crater Colony', 30: 'Phobos Military Base', 33: 'McKendree Shell Base', 36: 'Nereid Weather Station'}",7,7,set(),
10,6+,176,"Consider all events involving cryo-pod integrity breach. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Spaces,all,"{'Ross 128 Agricultural Station', 'Hydra Cloud Facility', 'Nereid Weather Station', 'Mars Valles Industrial Hub', 'Eridani Metallurgy Complex', 'Phobos Military Base', 'Mercury Twilight Observatory', 'Luna Shackleton Crater Colony'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'Nereid Weather Station', 14: 'Hydra Cloud Facility', 16: 'Eridani Metallurgy Complex', 17: 'Mercury Twilight Observatory', 21: 'Ross 128 Agricultural Station', 38: 'Phobos Military Base', 41: 'Luna Shackleton Crater Colony', 52: 'Mars Valles Industrial Hub', 53: 'Hydra Cloud Facility'}",8,9,set(),
10,6+,179,"Consider all events involving fusion core breach. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {fusion core breach})",Spaces,all,"{'Stanford Torus Prime', 'Phobos Military Base', 'Mercury Twilight Observatory', 'Luna Shackleton Crater Colony', 'Triton Gas Colony', 'Sedna Long Range Observatory'}","{32, 2, 37, 44, 23, 59}","{2: 'Triton Gas Colony', 23: 'Sedna Long Range Observatory', 32: 'Mercury Twilight Observatory', 37: 'Stanford Torus Prime', 44: 'Luna Shackleton Crater Colony', 59: 'Phobos Military Base'}",6,6,set(),
9,6+,517,"Recall all events related to antimatter cascade. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Times,all,"{'September 13, 2225', 'February 27, 2226', 'October 12, 2224', 'September 27, 2225', 'January 03, 2226'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'February 27, 2226', 18: 'January 03, 2226', 19: 'February 27, 2226', 25: 'September 27, 2225', 30: 'January 03, 2226', 33: 'October 12, 2224', 36: 'September 13, 2225'}",5,7,set(),
9,6+,533,"Recall all events related to cryo-pod integrity breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Times,all,"{'March 23, 2224', 'November 13, 2226', 'April 09, 2226', 'February 27, 2226', 'June 14, 2225', 'July 25, 2224', 'May 31, 2224', 'January 26, 2225'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'May 31, 2224', 14: 'April 09, 2226', 16: 'March 23, 2224', 17: 'June 14, 2225', 21: 'February 27, 2226', 38: 'March 23, 2224', 41: 'January 26, 2225', 52: 'November 13, 2226', 53: 'July 25, 2224'}",8,9,set(),
9,6+,548,"Recall all events related to fusion core breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {fusion core breach})",Times,all,"{'September 22, 2226', 'November 13, 2226', 'April 09, 2226', 'September 13, 2225', 'February 27, 2226'}","{32, 2, 37, 44, 23, 59}","{2: 'September 22, 2226', 23: 'April 09, 2226', 32: 'September 22, 2226', 37: 'November 13, 2226', 44: 'February 27, 2226', 59: 'September 13, 2225'}",5,6,set(),
11,6+,973,"Reflect on events related to antimatter cascade. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {antimatter cascade})",Entities,all,"{'Carter Stewart', 'Mila Gonzalez', 'Samuel Parker', 'Jackson Ramos', 'Noah Williams'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'Mila Gonzalez', 18: 'Mila Gonzalez', 19: 'Jackson Ramos', 25: 'Samuel Parker', 30: 'Carter Stewart', 33: 'Samuel Parker', 36: 'Noah Williams'}",5,7,set(),
11,6+,977,"Reflect on events related to cryo-pod integrity breach. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cryo-pod integrity breach})",Entities,all,"{'Lucy Carter', 'Levi Rodriguez', 'Benjamin Green', 'Henry Reed', 'Zoe Brown', 'Julian Ross'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'Julian Ross', 14: 'Benjamin Green', 16: 'Zoe Brown', 17: 'Zoe Brown', 21: 'Julian Ross', 38: 'Henry Reed', 41: 'Zoe Brown', 52: 'Lucy Carter', 53: 'Levi Rodriguez'}",6,9,set(),
11,6+,980,"Reflect on events related to fusion core breach. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {fusion core breach})",Entities,all,"{'Lillian Mendoza', 'Hazel Lewis', 'Lily Nguyen', 'Henry Reed', 'Chloe Castillo', 'Julian Ross'}","{32, 2, 37, 44, 23, 59}","{2: 'Chloe Castillo', 23: 'Lily Nguyen', 32: 'Julian Ross', 37: 'Henry Reed', 44: 'Hazel Lewis', 59: 'Lillian Mendoza'}",6,6,set(),
11,2,974,"Reflect on events related to artificial atmosphere toxicity. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Entities,all,"{'Benjamin Green', 'Henry Reed'}","{11, 7}","{7: 'Benjamin Green', 11: 'Henry Reed'}",2,2,set(),
11,2,975,"Reflect on events related to atmospheric scrubber failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Entities,all,"{'Levi Rodriguez', 'Carter Stewart'}","{50, 55}","{50: 'Carter Stewart', 55: 'Levi Rodriguez'}",2,2,set(),
11,2,978,"Reflect on events related to crystalline matrix shatter. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Entities,all,"{'Noah Williams', 'Mila Gonzalez'}","{26, 60}","{26: 'Mila Gonzalez', 60: 'Noah Williams'}",2,2,set(),
11,2,982,"Reflect on events related to inertial dampener malfunction. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Entities,all,{'Levi Rodriguez'},"{58, 54}","{54: 'Levi Rodriguez', 58: 'Levi Rodriguez'}",1,2,set(),
11,2,984,"Reflect on events related to magnetic confinement rupture. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Entities,all,{'Henry Reed'},"{48, 47}","{47: 'Henry Reed', 48: 'Henry Reed'}",1,2,set(),
9,2,519,"Recall all events related to artificial atmosphere toxicity. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Times,all,"{'February 27, 2226', 'May 11, 2226'}","{11, 7}","{7: 'February 27, 2226', 11: 'May 11, 2226'}",2,2,set(),
9,2,522,"Recall all events related to atmospheric scrubber failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Times,all,"{'September 22, 2226', 'May 28, 2225'}","{50, 55}","{50: 'September 22, 2226', 55: 'May 28, 2225'}",2,2,set(),
9,2,536,"Recall all events related to crystalline matrix shatter. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Times,all,"{'June 14, 2225'}","{26, 60}","{26: 'June 14, 2225', 60: 'June 14, 2225'}",1,2,set(),
9,2,553,"Recall all events related to inertial dampener malfunction. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Times,all,"{'May 11, 2226', 'June 14, 2225'}","{58, 54}","{54: 'June 14, 2225', 58: 'May 11, 2226'}",2,2,set(),
9,2,558,"Recall all events related to magnetic confinement rupture. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Times,all,"{'May 28, 2225', 'March 23, 2225'}","{48, 47}","{47: 'March 23, 2225', 48: 'May 28, 2225'}",2,2,set(),
10,2,61,"Consider all events involving artificial atmosphere toxicity. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {artificial atmosphere toxicity})",Spaces,all,{'Europa Subsurface Laboratory'},"{11, 7}","{7: 'Europa Subsurface Laboratory', 11: 'Europa Subsurface Laboratory'}",1,2,set(),
10,2,62,"Consider all events involving atmospheric scrubber failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {atmospheric scrubber failure})",Spaces,all,"{'Luna Oceanus Trading Post', 'Hydra Cloud Facility'}","{50, 55}","{50: 'Luna Oceanus Trading Post', 55: 'Hydra Cloud Facility'}",2,2,set(),
10,2,177,"Consider all events involving crystalline matrix shatter. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {crystalline matrix shatter})",Spaces,all,"{'Naiad Oceanographic Center', 'Sedna Long Range Observatory'}","{26, 60}","{26: 'Sedna Long Range Observatory', 60: 'Naiad Oceanographic Center'}",2,2,set(),
10,2,181,"Consider all events involving inertial dampener malfunction. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {inertial dampener malfunction})",Spaces,all,"{'Luna Shackleton Crater Colony', 'Naiad Oceanographic Center'}","{58, 54}","{54: 'Luna Shackleton Crater Colony', 58: 'Naiad Oceanographic Center'}",2,2,set(),
10,2,183,"Consider all events involving magnetic confinement rupture. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",Spaces,all,"{'Luna Shackleton Crater Colony', 'Mercury Twilight Observatory'}","{48, 47}","{47: 'Luna Shackleton Crater Colony', 48: 'Mercury Twilight Observatory'}",2,2,set(),
10,0,1491,"Consider all events involving bio-neural gel pack infection. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {bio-neural gel pack infection})",Spaces,all,set(),set(),{},0,0,"{'entity', 'location', 'content'}",False
10,0,1590,"Consider all events involving childhood memory trade scandal. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {childhood memory trade scandal})",Spaces,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
10,0,1591,"Consider all events involving chronal energy spike. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {chronal energy spike})",Spaces,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
10,0,1592,"Consider all events involving cosmic intelligence contact. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Spaces,all,set(),set(),{},0,0,"{'content', 'location'}",False
10,0,1593,"Consider all events involving cosmic string vibration. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Spaces,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
9,0,1903,"Recall all events related to bio-neural gel pack infection. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {bio-neural gel pack infection})",Times,all,set(),set(),{},0,0,"{'entity', 'location', 'content'}",False
9,0,1905,"Recall all events related to childhood memory trade scandal. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {childhood memory trade scandal})",Times,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
9,0,1907,"Recall all events related to chronal energy spike. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {chronal energy spike})",Times,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
9,0,1909,"Recall all events related to cosmic intelligence contact. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Times,all,set(),set(),{},0,0,"{'content', 'location'}",False
9,0,1911,"Recall all events related to cosmic string vibration. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Times,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
11,0,2296,"Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {bio-neural gel pack infection})",Entities,all,set(),set(),{},0,0,"{'entity', 'location', 'content'}",False
11,0,2297,"Reflect on events related to childhood memory trade scandal. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {childhood memory trade scandal})",Entities,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
11,0,2298,"Reflect on events related to chronal energy spike. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {chronal energy spike})",Entities,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False
11,0,2299,"Reflect on events related to cosmic intelligence contact. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic intelligence contact})",Entities,all,set(),set(),{},0,0,"{'content', 'location'}",False
11,0,2300,"Reflect on events related to cosmic string vibration. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {cosmic string vibration})",Entities,all,set(),set(),{},0,0,"{'content', 'location', 'entity', 'date'}",False
9,"{3,4,5}",541,"Recall all events related to digital afterlife server shutdown. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Times,all,"{'September 27, 2225', 'May 11, 2226', 'September 13, 2225'}","{8, 1, 56, 12}","{1: 'September 13, 2225', 8: 'September 27, 2225', 12: 'May 11, 2226', 56: 'September 13, 2225'}",3,4,set(),
9,"{3,4,5}",564,"Recall all events related to matter synthesizer overload. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Times,all,"{'October 27, 2224', 'October 13, 2224'}","{10, 42, 29}","{10: 'October 13, 2224', 29: 'October 27, 2224', 42: 'October 13, 2224'}",2,3,set(),
9,"{3,4,5}",574,"Recall all events related to plasma conduit rupture. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Times,all,"{'May 11, 2226', 'May 14, 2225', 'December 03, 2226'}","{24, 40, 51}","{24: 'December 03, 2226', 40: 'May 11, 2226', 51: 'May 14, 2225'}",3,3,set(),
9,"{3,4,5}",582,"Recall all events related to subspace antenna failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Times,all,"{'April 09, 2226', 'October 12, 2224', 'May 11, 2226', 'December 26, 2226'}","{43, 46, 15, 49, 28}","{15: 'December 26, 2226', 28: 'October 12, 2224', 43: 'May 11, 2226', 46: 'April 09, 2226', 49: 'December 26, 2226'}",4,5,set(),
10,"{3,4,5}",178,"Consider all events involving digital afterlife server shutdown. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Spaces,all,"{'Mercury Twilight Observatory', 'Triton Gas Colony', 'Hydra Cloud Facility', ""Barnard's Star Propulsion Lab""}","{8, 1, 56, 12}","{1: ""Barnard's Star Propulsion Lab"", 8: 'Hydra Cloud Facility', 12: 'Mercury Twilight Observatory', 56: 'Triton Gas Colony'}",4,4,set(),
10,"{3,4,5}",185,"Consider all events involving matter synthesizer overload. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Spaces,all,"{'Mercury Twilight Observatory', 'Triton Gas Colony', 'TRAPPIST-1 Colony Network'}","{10, 42, 29}","{10: 'TRAPPIST-1 Colony Network', 29: 'Triton Gas Colony', 42: 'Mercury Twilight Observatory'}",3,3,set(),
10,"{3,4,5}",188,"Consider all events involving plasma conduit rupture. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Spaces,all,"{'Luna Oceanus Trading Post', 'Titania Quantum Lab', 'Phobos Military Base'}","{24, 40, 51}","{24: 'Titania Quantum Lab', 40: 'Luna Oceanus Trading Post', 51: 'Phobos Military Base'}",3,3,set(),
10,"{3,4,5}",190,"Consider all events involving subspace antenna failure. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Spaces,all,"{'Ross 128 Agricultural Station', 'Luna Oceanus Trading Post', 'Europa Subsurface Laboratory', 'Mercury Twilight Observatory', 'Triton Gas Colony'}","{43, 46, 15, 49, 28}","{15: 'Triton Gas Colony', 28: 'Luna Oceanus Trading Post', 43: 'Ross 128 Agricultural Station', 46: 'Mercury Twilight Observatory', 49: 'Europa Subsurface Laboratory'}",5,5,set(),
11,"{3,4,5}",979,"Reflect on events related to digital afterlife server shutdown. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {digital afterlife server shutdown})",Entities,all,"{'Owen Thomas', 'Chloe Castillo', 'Carter Stewart', 'Ezra Edwards'}","{8, 1, 56, 12}","{1: 'Ezra Edwards', 8: 'Owen Thomas', 12: 'Chloe Castillo', 56: 'Carter Stewart'}",4,4,set(),
11,"{3,4,5}",986,"Reflect on events related to matter synthesizer overload. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Entities,all,"{'Brooklyn Ross', 'Henry Reed', 'Julian Ross'}","{10, 42, 29}","{10: 'Henry Reed', 29: 'Julian Ross', 42: 'Brooklyn Ross'}",3,3,set(),
11,"{3,4,5}",989,"Reflect on events related to plasma conduit rupture. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {plasma conduit rupture})",Entities,all,"{'Julian Ross', 'Samuel Parker', 'Ezra Edwards'}","{24, 40, 51}","{24: 'Ezra Edwards', 40: 'Samuel Parker', 51: 'Julian Ross'}",3,3,set(),
11,"{3,4,5}",991,"Reflect on events related to subspace antenna failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {subspace antenna failure})",Entities,all,"{'Bella Alvarez', 'Levi Rodriguez', 'Zoe Brown', 'Scarlett Thomas'}","{43, 46, 15, 49, 28}","{15: 'Levi Rodriguez', 28: 'Zoe Brown', 43: 'Bella Alvarez', 46: 'Scarlett Thomas', 49: 'Zoe Brown'}",4,5,set(),
32,1,1425,What was Bella Alvarez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Event contents,latest,['subspace antenna failure'],[43],{43: 'subspace antenna failure'},1,1,set(),
32,1,1427,What was Brooklyn Ross doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Event contents,latest,['matter synthesizer overload'],[42],{42: 'matter synthesizer overload'},1,1,set(),
32,1,1433,What was Jackson Ramos doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Event contents,latest,['antimatter cascade'],[19],{19: 'antimatter cascade'},1,1,set(),
32,1,1437,What was Lily Nguyen doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Lily Nguyen}, *)",Event contents,latest,['fusion core breach'],[23],{23: 'fusion core breach'},1,1,set(),
32,1,1438,What was Logan Diaz doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Event contents,latest,['main power grid overload'],[5],{5: 'main power grid overload'},1,1,set(),
34,1,404,List all locations visited by Bella Alvarez in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Spaces,chronological,['Ross 128 Agricultural Station'],[43],{43: 'Ross 128 Agricultural Station'},1,1,set(),
34,1,406,List all locations visited by Brooklyn Ross in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Spaces,chronological,['Mercury Twilight Observatory'],[42],{42: 'Mercury Twilight Observatory'},1,1,set(),
34,1,412,List all locations visited by Jackson Ramos in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Spaces,chronological,['Mercury Twilight Observatory'],[19],{19: 'Mercury Twilight Observatory'},1,1,set(),
34,1,416,List all locations visited by Lily Nguyen in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Lily Nguyen}, *)",Spaces,chronological,['Sedna Long Range Observatory'],[23],{23: 'Sedna Long Range Observatory'},1,1,set(),
34,1,417,List all locations visited by Logan Diaz in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Spaces,chronological,['Mercury Twilight Observatory'],[5],{5: 'Mercury Twilight Observatory'},1,1,set(),
35,1,382,"Enumerate all activities that Bella Alvarez has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Event contents,chronological,['subspace antenna failure'],[43],{43: 'subspace antenna failure'},1,1,set(),
35,1,384,"Enumerate all activities that Brooklyn Ross has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Event contents,chronological,['matter synthesizer overload'],[42],{42: 'matter synthesizer overload'},1,1,set(),
35,1,390,"Enumerate all activities that Jackson Ramos has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Event contents,chronological,['antimatter cascade'],[19],{19: 'antimatter cascade'},1,1,set(),
35,1,394,"Enumerate all activities that Lily Nguyen has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Lily Nguyen}, *)",Event contents,chronological,['fusion core breach'],[23],{23: 'fusion core breach'},1,1,set(),
35,1,395,"Enumerate all activities that Logan Diaz has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Event contents,chronological,['main power grid overload'],[5],{5: 'main power grid overload'},1,1,set(),
33,1,426,"Provide a chronological list of all dates when Bella Alvarez was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Times,chronological,"['May 11, 2226']",[43],"{43: 'May 11, 2226'}",1,1,set(),
33,1,428,"Provide a chronological list of all dates when Brooklyn Ross was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Times,chronological,"['October 13, 2224']",[42],"{42: 'October 13, 2224'}",1,1,set(),
33,1,434,"Provide a chronological list of all dates when Jackson Ramos was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Times,chronological,"['February 27, 2226']",[19],"{19: 'February 27, 2226'}",1,1,set(),
33,1,438,"Provide a chronological list of all dates when Lily Nguyen was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Lily Nguyen}, *)",Times,chronological,"['April 09, 2226']",[23],"{23: 'April 09, 2226'}",1,1,set(),
33,1,439,"Provide a chronological list of all dates when Logan Diaz was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Times,chronological,"['March 23, 2224']",[5],"{5: 'March 23, 2224'}",1,1,set(),
7,1,193,"Consider all events that Bella Alvarez has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Spaces,all,{'Ross 128 Agricultural Station'},{43},{43: 'Ross 128 Agricultural Station'},1,1,set(),
7,1,195,"Consider all events that Brooklyn Ross has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Spaces,all,{'Mercury Twilight Observatory'},{42},{42: 'Mercury Twilight Observatory'},1,1,set(),
