chapter,date,location,entity,content,post_entities,n_date,n_location,n_entity,n_content,raw_generated_paragraph_idx,nb_paragraphs,style,idx_t,idx_s,idx_e,idx_c
48,"May 28, 2225",Mercury Twilight Observatory,Henry Reed,magnetic confinement rupture,set(),2,9,7,2,47,6,scifi,5,4,5,5
49,"December 26, 2226",Europa Subsurface Laboratory,Zoe Brown,subspace antenna failure,set(),2,4,7,5,48,4,scifi,3,1,4,2
50,"September 22, 2226",Luna Oceanus Trading Post,Carter Stewart,atmospheric scrubber failure,set(),5,3,4,2,49,6,scifi,3,2,5,4
51,"May 14, 2225",Phobos Military Base,Julian Ross,plasma conduit rupture,set(),1,4,5,3,50,2,scifi,2,2,2,2
52,"November 13, 2226",Mars Valles Industrial Hub,Lucy Carter,cryo-pod integrity breach,set(),5,2,2,9,51,4,scifi,2,1,4,3
53,"July 25, 2224",Hydra Cloud Facility,Levi Rodriguez,cryo-pod integrity breach,set(),1,4,5,9,52,10,scifi,7,6,10,7
54,"June 14, 2225",Luna Shackleton Crater Colony,Levi Rodriguez,inertial dampener malfunction,set(),5,5,5,2,53,4,scifi,4,4,2,4
55,"May 28, 2225",Hydra Cloud Facility,Levi Rodriguez,atmospheric scrubber failure,{'Jonah Kramer'},2,4,5,2,54,4,scifi,2,2,3,2
56,"September 13, 2225",Triton Gas Colony,Carter Stewart,digital afterlife server shutdown,set(),4,4,4,4,55,3,scifi,2,2,3,1
57,"November 13, 2226",Barnard's Star Propulsion Lab,Zoe Brown,navigation computer blackout,set(),5,2,7,2,56,9,scifi,5,5,1,5
58,"May 11, 2226",Naiad Oceanographic Center,Levi Rodriguez,inertial dampener malfunction,set(),5,2,5,2,57,8,scifi,8,8,5,5
59,"September 13, 2225",Phobos Military Base,Lillian Mendoza,fusion core breach,"{'Luka Shaffer', 'Karsyn Schaeffer'}",4,4,2,6,58,2,scifi,2,2,1,1
60,"June 14, 2225",Naiad Oceanographic Center,Noah Williams,crystalline matrix shatter,set(),5,2,3,2,59,2,scifi,2,1,2,1
