q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
11,2,1717,"Reflect on events related to Burlesque Performance. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Burlesque Performance})",Entities,all,"{'Isaiah Bennett', 'Julian Ross'}","{105, 79}","{79: 'Julian Ross', 105: 'Isaiah Bennett'}",2,2,set(),
11,2,1718,"Reflect on events related to Business Networking Event. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Business Networking Event})",Entities,all,"{'Logan Diaz', 'Julian Ross'}","{5, 70}","{5: 'Logan Diaz', 70: 'Julian Ross'}",2,2,set(),
11,2,1720,"Reflect on events related to Classical Music Concert. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Classical Music Concert})",Entities,all,{'Levi Rodriguez'},"{58, 54}","{54: 'Levi Rodriguez', 58: 'Levi Rodriguez'}",1,2,set(),
9,2,891,"Recall all events related to Archery Tournament. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Archery Tournament})",Times,all,"{'March 23, 2025', 'March 23, 2024'}","{22, 95}","{22: 'March 23, 2024', 95: 'March 23, 2025'}",2,2,set(),
9,2,905,"Recall all events related to Burlesque Performance. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Burlesque Performance})",Times,all,"{'July 21, 2024', 'September 13, 2025'}","{105, 79}","{79: 'September 13, 2025', 105: 'July 21, 2024'}",2,2,set(),
9,2,908,"Recall all events related to Business Networking Event. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Business Networking Event})",Times,all,"{'March 23, 2024', 'November 13, 2026'}","{5, 70}","{5: 'March 23, 2024', 70: 'November 13, 2026'}",2,2,set(),
9,2,913,"Recall all events related to Classical Music Concert. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Classical Music Concert})",Times,all,"{'June 14, 2025', 'May 11, 2026'}","{58, 54}","{54: 'June 14, 2025', 58: 'May 11, 2026'}",2,2,set(),
10,2,0,"Consider all events involving Archery Tournament. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Archery Tournament})",Spaces,all,"{'Washington Square Park', 'High Line'}","{22, 95}","{22: 'Washington Square Park', 95: 'High Line'}",2,2,set(),
10,2,16,"Consider all events involving Burlesque Performance. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Burlesque Performance})",Spaces,all,"{'Washington Square Park', 'Bethpage State Park'}","{105, 79}","{79: 'Washington Square Park', 105: 'Bethpage State Park'}",2,2,set(),
10,2,17,"Consider all events involving Business Networking Event. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Business Networking Event})",Spaces,all,"{'High Line', 'Ellis Island'}","{5, 70}","{5: 'High Line', 70: 'Ellis Island'}",2,2,set(),
10,2,27,"Consider all events involving Classical Music Concert. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Classical Music Concert})",Spaces,all,"{'One World Trade Center', 'Trinity Church'}","{58, 54}","{54: 'One World Trade Center', 58: 'Trinity Church'}",2,2,set(),
9,6+,898,"Recall all events related to Astronomy Night. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Astronomy Night})",Times,all,"{'December 26, 2026', 'April 09, 2026', 'October 12, 2024', 'May 11, 2026'}","{43, 46, 15, 49, 28, 63}","{15: 'December 26, 2026', 28: 'October 12, 2024', 43: 'May 11, 2026', 46: 'April 09, 2026', 49: 'December 26, 2026', 63: 'May 11, 2026'}",4,6,set(),
9,6+,930,"Recall all events related to Educational Workshop. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Educational Workshop})",Times,all,"{'May 11, 2026', 'April 09, 2026', 'December 03, 2026', 'September 03, 2026', 'May 14, 2025', 'July 13, 2024'}","{40, 104, 110, 82, 51, 24, 62}","{24: 'December 03, 2026', 40: 'May 11, 2026', 51: 'May 14, 2025', 62: 'May 11, 2026', 82: 'September 03, 2026', 104: 'April 09, 2026', 110: 'July 13, 2024'}",6,7,set(),
9,6+,943,"Recall all events related to Fashion Show. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Fashion Show})",Times,all,"{'May 11, 2026', 'September 13, 2025', 'April 09, 2026', 'December 26, 2026', 'November 13, 2026', 'July 31, 2025', 'February 27, 2026', 'September 22, 2026', 'March 23, 2024', 'May 31, 2024', 'October 30, 2026', 'February 22, 2025'}","{32, 65, 2, 99, 37, 107, 44, 112, 81, 115, 117, 23, 59}","{2: 'September 22, 2026', 23: 'April 09, 2026', 32: 'September 22, 2026', 37: 'November 13, 2026', 44: 'February 27, 2026', 59: 'September 13, 2025', 65: 'March 23, 2024', 81: 'May 11, 2026', 99: 'July 31, 2025', 107: 'February 22, 2025', 112: 'December 26, 2026', 115: 'October 30, 2026', 117: 'May 31, 2024'}",12,13,set(),
9,6+,949,"Recall all events related to Film Festival. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Film Festival})",Times,all,"{'December 26, 2026', 'September 03, 2026', 'March 23, 2024', 'October 27, 2024', 'October 13, 2024'}","{72, 10, 42, 83, 88, 29}","{10: 'October 13, 2024', 29: 'October 27, 2024', 42: 'October 13, 2024', 72: 'March 23, 2024', 83: 'September 03, 2026', 88: 'December 26, 2026'}",5,6,set(),
9,6+,983,"Recall all events related to Parkour Workshop. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Parkour Workshop})",Times,all,"{'May 11, 2026', 'September 13, 2025', 'February 27, 2026', 'October 30, 2026', 'September 27, 2025'}","{1, 8, 12, 111, 56, 89}","{1: 'September 13, 2025', 8: 'September 27, 2025', 12: 'May 11, 2026', 56: 'September 13, 2025', 89: 'October 30, 2026', 111: 'February 27, 2026'}",5,6,set(),
10,6+,1,"Consider all events involving Astronomy Night. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Astronomy Night})",Spaces,all,"{'Washington Square Park', 'High Line', 'Metropolitan Museum of Art', 'Port Jefferson', 'Williamsburg Bridge', 'American Museum of Natural History'}","{43, 46, 15, 49, 28, 63}","{15: 'American Museum of Natural History', 28: 'Metropolitan Museum of Art', 43: 'Williamsburg Bridge', 46: 'High Line', 49: 'Washington Square Park', 63: 'Port Jefferson'}",6,6,set(),
10,6+,31,"Consider all events involving Educational Workshop. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Educational Workshop})",Spaces,all,"{'High Line', 'Van Cortlandt Park', 'Metropolitan Museum of Art', 'New York Botanical Garden', 'One World Trade Center', 'Woolworth Building', 'Yankee Stadium'}","{40, 104, 110, 82, 51, 24, 62}","{24: 'New York Botanical Garden', 40: 'Metropolitan Museum of Art', 51: 'Yankee Stadium', 62: 'Woolworth Building', 82: 'Van Cortlandt Park', 104: 'One World Trade Center', 110: 'High Line'}",7,7,set(),
10,6+,37,"Consider all events involving Fashion Show. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Fashion Show})",Spaces,all,"{'Washington Square Park', 'High Line', 'Bethpage State Park', 'One World Trade Center', 'Brooklyn Museum', 'Yankee Stadium', 'Trinity Church', 'Long Beach Boardwalk', 'Museum of Modern Art', 'American Museum of Natural History'}","{32, 65, 2, 99, 37, 107, 44, 112, 81, 115, 117, 23, 59}","{2: 'American Museum of Natural History', 23: 'Brooklyn Museum', 32: 'High Line', 37: 'Long Beach Boardwalk', 44: 'One World Trade Center', 59: 'Yankee Stadium', 65: 'Bethpage State Park', 81: 'Museum of Modern Art', 99: 'American Museum of Natural History', 107: 'American Museum of Natural History', 112: 'Trinity Church', 115: 'Washington Square Park', 117: 'Trinity Church'}",10,13,set(),
10,6+,38,"Consider all events involving Film Festival. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Film Festival})",Spaces,all,"{'Washington Square Park', 'Queensboro Bridge', 'High Line', 'Metropolitan Museum of Art', 'American Museum of Natural History'}","{72, 10, 42, 83, 88, 29}","{10: 'Queensboro Bridge', 29: 'American Museum of Natural History', 42: 'High Line', 72: 'Metropolitan Museum of Art', 83: 'Washington Square Park', 88: 'High Line'}",5,6,set(),
10,6+,106,"Consider all events involving Parkour Workshop. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Parkour Workshop})",Spaces,all,"{'Bethpage Black Course', 'Snug Harbor Cultural Center', 'High Line', 'American Museum of Natural History'}","{1, 8, 12, 111, 56, 89}","{1: 'Bethpage Black Course', 8: 'Snug Harbor Cultural Center', 12: 'High Line', 56: 'American Museum of Natural History', 89: 'High Line', 111: 'Bethpage Black Course'}",4,6,set(),
11,6+,1714,"Reflect on events related to Astronomy Night. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Astronomy Night})",Entities,all,"{'Bella Alvarez', 'Levi Rodriguez', 'Maya Smith', 'Zoe Brown', 'Scarlett Thomas'}","{43, 46, 15, 49, 28, 63}","{15: 'Levi Rodriguez', 28: 'Zoe Brown', 43: 'Bella Alvarez', 46: 'Scarlett Thomas', 49: 'Zoe Brown', 63: 'Maya Smith'}",5,6,set(),
11,6+,1724,"Reflect on events related to Educational Workshop. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Educational Workshop})",Entities,all,"{'Carter Stewart', 'Ezra Edwards', 'Brooklyn Ross', 'Julian Ross', 'Samuel Parker', 'Mila Gonzalez'}","{40, 104, 110, 82, 51, 24, 62}","{24: 'Ezra Edwards', 40: 'Samuel Parker', 51: 'Julian Ross', 62: 'Carter Stewart', 82: 'Mila Gonzalez', 104: 'Brooklyn Ross', 110: 'Samuel Parker'}",6,7,set(),
11,6+,1726,"Reflect on events related to Fashion Show. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Fashion Show})",Entities,all,"{'Lillian Mendoza', 'Henry Reed', 'Levi Rodriguez', 'Julian Ross', 'Mila Gonzalez', 'Benjamin Green', 'Lily Nguyen', 'Hazel Lewis', 'Chloe Castillo', 'Scarlett Thomas'}","{32, 65, 2, 99, 37, 107, 44, 112, 81, 115, 117, 23, 59}","{2: 'Chloe Castillo', 23: 'Lily Nguyen', 32: 'Julian Ross', 37: 'Henry Reed', 44: 'Hazel Lewis', 59: 'Lillian Mendoza', 65: 'Benjamin Green', 81: 'Scarlett Thomas', 99: 'Levi Rodriguez', 107: 'Chloe Castillo', 112: 'Julian Ross', 115: 'Mila Gonzalez', 117: 'Levi Rodriguez'}",10,13,set(),
11,6+,1727,"Reflect on events related to Film Festival. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Film Festival})",Entities,all,"{'Henry Reed', 'Levi Rodriguez', 'Brooklyn Ross', 'Julian Ross', 'Mila Gonzalez', 'Scarlett Thomas'}","{72, 10, 42, 83, 88, 29}","{10: 'Henry Reed', 29: 'Julian Ross', 42: 'Brooklyn Ross', 72: 'Scarlett Thomas', 83: 'Levi Rodriguez', 88: 'Mila Gonzalez'}",6,6,set(),
11,6+,1736,"Reflect on events related to Parkour Workshop. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Parkour Workshop})",Entities,all,"{'Carter Stewart', 'Ezra Edwards', 'Levi Rodriguez', 'Julian Ross', 'Owen Thomas', 'Chloe Castillo'}","{1, 8, 12, 111, 56, 89}","{1: 'Ezra Edwards', 8: 'Owen Thomas', 12: 'Chloe Castillo', 56: 'Carter Stewart', 89: 'Julian Ross', 111: 'Levi Rodriguez'}",6,6,set(),
9,1,900,"Recall all events related to Ballet Performance. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Ballet Performance})",Times,all,"{'October 27, 2024'}",{31},"{31: 'October 27, 2024'}",1,1,set(),
9,1,902,"Recall all events related to Book Signing Event. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Book Signing Event})",Times,all,"{'June 14, 2025'}",{45},"{45: 'June 14, 2025'}",1,1,set(),
9,1,910,"Recall all events related to Carnival. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Carnival})",Times,all,"{'September 13, 2025'}",{66},"{66: 'September 13, 2025'}",1,1,set(),
9,1,915,"Recall all events related to Craft Beer Festival. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Craft Beer Festival})",Times,all,"{'October 13, 2024'}",{13},"{13: 'October 13, 2024'}",1,1,set(),
9,1,922,"Recall all events related to Drone Racing Event. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Drone Racing Event})",Times,all,"{'May 28, 2025'}",{116},"{116: 'May 28, 2025'}",1,1,set(),
11,1,1715,"Reflect on events related to Ballet Performance. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Ballet Performance})",Entities,all,{'Carter Stewart'},{31},{31: 'Carter Stewart'},1,1,set(),
11,1,1716,"Reflect on events related to Book Signing Event. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Book Signing Event})",Entities,all,{'Scarlett Thomas'},{45},{45: 'Scarlett Thomas'},1,1,set(),
11,1,1719,"Reflect on events related to Carnival. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Carnival})",Entities,all,{'Henry Reed'},{66},{66: 'Henry Reed'},1,1,set(),
11,1,1721,"Reflect on events related to Craft Beer Festival. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Craft Beer Festival})",Entities,all,{'Scarlett Thomas'},{13},{13: 'Scarlett Thomas'},1,1,set(),
11,1,1723,"Reflect on events related to Drone Racing Event. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Drone Racing Event})",Entities,all,{'Brooklyn Ross'},{116},{116: 'Brooklyn Ross'},1,1,set(),
10,1,3,"Consider all events involving Ballet Performance. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Ballet Performance})",Spaces,all,{'Port Jefferson'},{31},{31: 'Port Jefferson'},1,1,set(),
10,1,9,"Consider all events involving Book Signing Event. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Book Signing Event})",Spaces,all,{'The Vessel at Hudson Yards'},{45},{45: 'The Vessel at Hudson Yards'},1,1,set(),
10,1,18,"Consider all events involving Carnival. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Carnival})",Spaces,all,"{""St. Patrick's Cathedral""}",{66},"{66: ""St. Patrick's Cathedral""}",1,1,set(),
10,1,28,"Consider all events involving Craft Beer Festival. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Craft Beer Festival})",Spaces,all,{'Woolworth Building'},{13},{13: 'Woolworth Building'},1,1,set(),
10,1,30,"Consider all events involving Drone Racing Event. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Drone Racing Event})",Spaces,all,{'Guggenheim Museum'},{116},{116: 'Guggenheim Museum'},1,1,set(),
9,"{3,4,5}",920,"Recall all events related to Debate Tournament. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Debate Tournament})",Times,all,"{'May 28, 2025', 'March 23, 2025', 'January 03, 2026'}","{48, 109, 93, 47}","{47: 'March 23, 2025', 48: 'May 28, 2025', 93: 'January 03, 2026', 109: 'March 23, 2025'}",3,4,set(),
9,"{3,4,5}",954,"Recall all events related to Fire Dancing Performance. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Fire Dancing Performance})",Times,all,"{'October 09, 2025', 'February 27, 2026', 'January 03, 2026', 'November 13, 2026'}","{64, 34, 120, 39}","{34: 'October 09, 2025', 39: 'November 13, 2026', 64: 'January 03, 2026', 120: 'February 27, 2026'}",4,4,set(),
9,"{3,4,5}",962,"Recall all events related to Historical Reenactment. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Historical Reenactment})",Times,all,"{'November 07, 2025', 'March 23, 2025', 'September 03, 2026'}","{20, 101, 119}","{20: 'September 03, 2026', 101: 'November 07, 2025', 119: 'March 23, 2025'}",3,3,set(),
9,"{3,4,5}",965,"Recall all events related to Ice Sculpture Exhibition. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Ice Sculpture Exhibition})",Times,all,"{'May 11, 2026', 'November 07, 2025', 'February 27, 2026'}","{106, 11, 7}","{7: 'February 27, 2026', 11: 'May 11, 2026', 106: 'November 07, 2025'}",3,3,set(),
9,"{3,4,5}",969,"Recall all events related to Job Fair. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Job Fair})",Times,all,"{'October 09, 2025', 'July 25, 2024', 'March 23, 2024'}","{77, 61, 87}","{61: 'July 25, 2024', 77: 'March 23, 2024', 87: 'October 09, 2025'}",3,3,set(),
10,"{3,4,5}",29,"Consider all events involving Debate Tournament. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Debate Tournament})",Spaces,all,"{'One World Trade Center', 'High Line', 'Metropolitan Museum of Art', 'Trinity Church'}","{48, 109, 93, 47}","{47: 'One World Trade Center', 48: 'High Line', 93: 'Trinity Church', 109: 'Metropolitan Museum of Art'}",4,4,set(),
10,"{3,4,5}",39,"Consider all events involving Fire Dancing Performance. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Fire Dancing Performance})",Spaces,all,"{'High Line', 'Port Jefferson', 'Williamsburg Bridge', 'Statue of Liberty'}","{64, 34, 120, 39}","{34: 'High Line', 39: 'Williamsburg Bridge', 64: 'Statue of Liberty', 120: 'Port Jefferson'}",4,4,set(),
10,"{3,4,5}",54,"Consider all events involving Historical Reenactment. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Historical Reenactment})",Spaces,all,"{'Bethpage Black Course', 'Yankee Stadium', 'Brooklyn Bridge'}","{20, 101, 119}","{20: 'Brooklyn Bridge', 101: 'Yankee Stadium', 119: 'Bethpage Black Course'}",3,3,set(),
10,"{3,4,5}",55,"Consider all events involving Ice Sculpture Exhibition. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Ice Sculpture Exhibition})",Spaces,all,"{'Washington Square Park', 'Snug Harbor Cultural Center'}","{106, 11, 7}","{7: 'Washington Square Park', 11: 'Washington Square Park', 106: 'Snug Harbor Cultural Center'}",2,3,set(),
10,"{3,4,5}",61,"Consider all events involving Job Fair. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Job Fair})",Spaces,all,"{'Bethpage Black Course', 'Woolworth Building', 'American Museum of Natural History'}","{77, 61, 87}","{61: 'Bethpage Black Course', 77: 'Woolworth Building', 87: 'American Museum of Natural History'}",3,3,set(),
11,"{3,4,5}",1722,"Reflect on events related to Debate Tournament. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Debate Tournament})",Entities,all,"{'Jackson Hall', 'Henry Reed', 'Olivia Turner'}","{48, 109, 93, 47}","{47: 'Henry Reed', 48: 'Henry Reed', 93: 'Olivia Turner', 109: 'Jackson Hall'}",3,4,set(),
11,"{3,4,5}",1728,"Reflect on events related to Fire Dancing Performance. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Fire Dancing Performance})",Entities,all,"{'Zoe Brown', 'Lucy Carter', 'Ezra Edwards', 'Olivia Turner'}","{64, 34, 120, 39}","{34: 'Lucy Carter', 39: 'Olivia Turner', 64: 'Zoe Brown', 120: 'Ezra Edwards'}",4,4,set(),
11,"{3,4,5}",1731,"Reflect on events related to Historical Reenactment. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Historical Reenactment})",Entities,all,"{'Hazel Lewis', 'Zoe Brown', 'Bella Brown'}","{20, 101, 119}","{20: 'Hazel Lewis', 101: 'Zoe Brown', 119: 'Bella Brown'}",3,3,set(),
11,"{3,4,5}",1732,"Reflect on events related to Ice Sculpture Exhibition. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Ice Sculpture Exhibition})",Entities,all,"{'Benjamin Green', 'Henry Reed', 'Scarlett Thomas'}","{106, 11, 7}","{7: 'Benjamin Green', 11: 'Henry Reed', 106: 'Scarlett Thomas'}",3,3,set(),
11,"{3,4,5}",1733,"Reflect on events related to Job Fair. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Job Fair})",Entities,all,"{'Levi Cruz', 'Logan Diaz', 'Samuel Parker'}","{77, 61, 87}","{61: 'Logan Diaz', 77: 'Levi Cruz', 87: 'Samuel Parker'}",3,3,set(),
32,1,2525,What was Aurora Chavez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Aurora Chavez}, *)",Event contents,latest,['Tech Hackathon'],[73],{73: 'Tech Hackathon'},1,1,set(),
32,1,2526,What was Bella Alvarez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Event contents,latest,['Astronomy Night'],[43],{43: 'Astronomy Night'},1,1,set(),
32,1,2527,What was Bella Brown doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Bella Brown}, *)",Event contents,latest,['Historical Reenactment'],[119],{119: 'Historical Reenactment'},1,1,set(),
32,1,2535,What was Isaiah Bennett doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Isaiah Bennett}, *)",Event contents,latest,['Burlesque Performance'],[105],{105: 'Burlesque Performance'},1,1,set(),
32,1,2536,What was Jackson Hall doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Jackson Hall}, *)",Event contents,latest,['Debate Tournament'],[109],{109: 'Debate Tournament'},1,1,set(),
35,1,685,"Enumerate all activities that Aurora Chavez has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Aurora Chavez}, *)",Event contents,chronological,['Tech Hackathon'],[73],{73: 'Tech Hackathon'},1,1,set(),
35,1,686,"Enumerate all activities that Bella Alvarez has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Event contents,chronological,['Astronomy Night'],[43],{43: 'Astronomy Night'},1,1,set(),
35,1,687,"Enumerate all activities that Bella Brown has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Bella Brown}, *)",Event contents,chronological,['Historical Reenactment'],[119],{119: 'Historical Reenactment'},1,1,set(),
35,1,695,"Enumerate all activities that Isaiah Bennett has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Isaiah Bennett}, *)",Event contents,chronological,['Burlesque Performance'],[105],{105: 'Burlesque Performance'},1,1,set(),
35,1,696,"Enumerate all activities that Jackson Hall has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Jackson Hall}, *)",Event contents,chronological,['Debate Tournament'],[109],{109: 'Debate Tournament'},1,1,set(),
34,1,713,List all locations visited by Aurora Chavez in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Aurora Chavez}, *)",Spaces,chronological,['Water Mill Museum'],[73],{73: 'Water Mill Museum'},1,1,set(),
34,1,714,List all locations visited by Bella Alvarez in chronological order according to the story's timeline.,"(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Spaces,chronological,['Williamsburg Bridge'],[43],{43: 'Williamsburg Bridge'},1,1,set(),
