q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx
25,1,1313,"Think about the events related to subspace antenna failure that occurred at Europa Subsurface Laboratory on December 26, 2226. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({December 26, 2226}, {Europa Subsurface Laboratory}, *, {subspace antenna failure})",Entities,all,{'Zoe Brown'},{49},{49: 'Zoe Brown'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,10
25,1,1315,"Think about the events related to subspace antenna failure that occurred at Mercury Twilight Observatory on April 09, 2226. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2226}, {Mercury Twilight Observatory}, *, {subspace antenna failure})",Entities,all,{'Scarlett Thomas'},{46},{46: 'Scarlett Thomas'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,11
19,0,2216,"Reflect on Carter Stewart's experiences at Cygnus Rift Complex. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred.","(*, s, ent, *)","(*, {Cygnus Rift Complex}, {Carter Stewart}, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,12
26,0,1746,"Consider the events involving both Noah Williams and atmospheric scrubber failure on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Noah Williams}, {atmospheric scrubber failure})",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,13
17,1,1166,"Think about the events involving artificial atmosphere toxicity on February 27, 2226. Provide a list of all protagonists involved in these events, without describing the events.","(t, *, *, c)","({February 27, 2226}, *, *, {artificial atmosphere toxicity})",Entities,all,{'Benjamin Green'},{7},{7: 'Benjamin Green'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,14
8,0,2415,"Think about Ellie Garcia's experiences. Describe all the key events they've been involved in, focusing on what happened rather than when or where it occurred.","(*, *, ent, *)","(*, *, {Ellie Garcia}, *)",Event contents,all,set(),set(),{},0,0,{'entity'},False,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True,original,False,,,15
3,"{3,4,5}",1135,"Think about all events that have occurred at Luna Oceanus Trading Post. Provide a list of all dates when these events took place, without describing the events.","(*, s, *, *)","(*, {Luna Oceanus Trading Post}, *, *)",Times,all,"{'May 11, 2226', 'September 22, 2226', 'October 12, 2224'}","{40, 50, 28}","{28: 'October 12, 2224', 40: 'May 11, 2226', 50: 'September 22, 2226'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,16
5,6+,735,"Recall the various events that have taken place at Mercury Twilight Observatory. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Mercury Twilight Observatory}, *, *)",Event contents,all,"{'main power grid overload', 'memory patent warfare', 'magnetic confinement rupture', 'antimatter cascade', 'cryo-pod integrity breach', 'matter synthesizer overload', 'subspace antenna failure', 'fusion core breach', 'digital afterlife server shutdown'}","{32, 34, 5, 42, 12, 46, 48, 17, 19}","{5: 'main power grid overload', 12: 'digital afterlife server shutdown', 17: 'cryo-pod integrity breach', 19: 'antimatter cascade', 32: 'fusion core breach', 34: 'memory patent warfare', 42: 'matter synthesizer overload', 46: 'subspace antenna failure', 48: 'magnetic confinement rupture'}",9,9,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,17
14,0,1654,"Consider the events involving Carter Stewart on August 27, 2224. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, *)","({August 27, 2224}, *, {Carter Stewart}, *)",Spaces,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,18
11,1,981,"Reflect on events related to hyperspace beacon failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Entities,all,{'Mila Gonzalez'},{22},{22: 'Mila Gonzalez'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,19
18,1,52,"Consider all events involving Zoe Brown at Barnard's Star Propulsion Lab. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Barnard's Star Propulsion Lab}, {Zoe Brown}, *)",Times,all,"{'November 13, 2226'}",{57},"{57: 'November 13, 2226'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,20
20,0,1929,"Recall all events related to magnetospheric resonance breach that occurred at Barnard's Star Propulsion Lab. Provide a list of all dates when these events took place, without describing the events.","(*, s, *, c)","(*, {Barnard's Star Propulsion Lab}, *, {magnetospheric resonance breach})",Times,all,set(),set(),{},0,0,"{'content', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|ent,s|c,True,original,False,,,21
24,0,2190,"Recall what happened involving Noah Williams at Eridani Metallurgy Complex on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2226}, {Eridani Metallurgy Complex}, {Noah Williams}, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'date', 'entity'}",True,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,22
7,2,199,"Consider all events that Hazel Lewis has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Hazel Lewis}, *)",Spaces,all,"{'Luna Shackleton Crater Colony', 'Luna Copernicus Station'}","{20, 44}","{20: 'Luna Copernicus Station', 44: 'Luna Shackleton Crater Colony'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True,original,False,,,23
15,1,1073,"Reflect on what Levi Rodriguez experienced on December 26, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({December 26, 2226}, *, {Levi Rodriguez}, *)",Event contents,all,{'subspace antenna failure'},{15},{15: 'subspace antenna failure'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,24
25,0,2558,"Think about the events related to cosmic string vibration that occurred at Makemake Station on August 12, 2225. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({August 12, 2225}, {Makemake Station}, *, {cosmic string vibration})",Entities,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,25
28,0,2174,"Recall what happened involving Lily Nguyen and wormhole destabilization at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2226}, {Sedna Long Range Observatory}, {Lily Nguyen}, {wormhole destabilization})",Other entities,all,set(),set(),{},0,0,{'content'},False,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,26
27,0,1548,"Consider all events involving both Julian Peterson and magnetospheric resonance breach at Barnard's Star Propulsion Lab. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Barnard's Star Propulsion Lab}, {Julian Peterson}, {magnetospheric resonance breach})",Times,all,set(),set(),{},0,0,"{'content', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,27
1,0,1631,"Consider all events that happened on August 27, 2224. Provide a list of all protagonists involved in any of these events, without describing the events themselves.","(t, *, *, *)","({August 27, 2224}, *, *, *)",Entities,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,28
27,0,1514,"Consider all events involving both Ella Ross and childhood memory trade scandal at Dione Ice Processing Facility. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Dione Ice Processing Facility}, {Ella Ross}, {childhood memory trade scandal})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,29
11,1,972,"Reflect on events related to air filter contamination. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {air filter contamination})",Entities,all,{'Scarlett Thomas'},{45},{45: 'Scarlett Thomas'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,30
26,1,333,"Consider the events involving both Lily Nguyen and fusion core breach on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Lily Nguyen}, {fusion core breach})",Spaces,all,{'Sedna Long Range Observatory'},{23},{23: 'Sedna Long Range Observatory'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,31
1,"{3,4,5}",226,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events that happened on May 11, 2226. Provide a list of all protagonists involved in any of these events, without describing the events themselves."". Remove ""Bella Alvarez"" from that answer. Return only the remaining items.","(t, *, *, *)","({May 11, 2226}, *, *, *)",story_edit::remove_one,all,"{'Chloe Castillo', 'Levi Rodriguez', 'Henry Reed', 'Samuel Parker'}",,"{'remaining_items': ['Chloe Castillo', 'Henry Reed', 'Levi Rodriguez', 'Samuel Parker']}",5,5,set(),,Recall and Edit,Story-grounded remove-one edit,s|ent|c,t,True,story_synthetic,True,recall_and_edit,Removed item: Bella Alvarez,32
4,2,368,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider the location Mars Valles Industrial Hub. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Reflect on what Ezra Edwards experienced on December 03, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Return two lists: only_in_A and only_in_B.","(*, s, *, *)","(*, {Mars Valles Industrial Hub}, *, *)",story_diff::set_difference,all,"{""only_in_A"": [""Lucy Carter"", ""Mila Gonzalez""], ""only_in_B"": [""plasma conduit rupture""]}",,"{""only_in_A"": [""Lucy Carter"", ""Mila Gonzalez""], ""only_in_B"": [""plasma conduit rupture""]}",2,2,set(),,Spot the Differences,Story-grounded set difference,t|ent|c,s,True,story_synthetic,True,spot_the_differences,Compared q_idx 4 vs 15,33
12,1,1376,"Think about what happened at Titania Quantum Lab on December 03, 2226. List all protagonists involved in any events at this time and place, without describing the events.","(t, s, *, *)","({December 03, 2226}, {Titania Quantum Lab}, *, *)",Entities,all,{'Ezra Edwards'},{24},{24: 'Ezra Edwards'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,34
32,0,2690,What was Daniel Lopez doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Daniel Lopez}, *)",Event contents,latest,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,35
21,1,1193,"Think about the events involving digital afterlife server shutdown at Barnard's Star Propulsion Lab. List all protagonists involved in these events, without mentioning the events themselves.","(*, s, *, c)","(*, {Barnard's Star Propulsion Lab}, *, {digital afterlife server shutdown})",Entities,all,{'Ezra Edwards'},{1},{1: 'Ezra Edwards'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|ent,s|c,True,original,False,,,36
17,1,1241,"Think about the events involving plasma conduit rupture on December 03, 2226. Provide a list of all protagonists involved in these events, without describing the events.","(t, *, *, c)","({December 03, 2226}, *, *, {plasma conduit rupture})",Entities,all,{'Ezra Edwards'},{24},{24: 'Ezra Edwards'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,37
22,1,68,"Consider all events involving both Benjamin Green and cryo-pod integrity breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Benjamin Green}, {cryo-pod integrity breach})",Times,all,"{'April 09, 2226'}",{14},"{14: 'April 09, 2226'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,38
0,2,601,"Story recall-and-edit: Start from the answer to this story query: ""Recall all the events that occurred on May 28, 2225. Without describing the events, list all the unique locations where these events took place."". Remove ""Hydra Cloud Facility"" from that answer. Return only the remaining items.","(t, *, *, *)","({May 28, 2225}, *, *, *)",story_edit::remove_one,all,{'Mercury Twilight Observatory'},,{'remaining_items': ['Mercury Twilight Observatory']},2,2,set(),,Recall and Edit,Story-grounded remove-one edit,s|ent|c,t,True,story_synthetic,True,recall_and_edit,Removed item: Hydra Cloud Facility,39
5,0,2077,"Recall the various events that have taken place at Ariel Biotech Complex. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Ariel Biotech Complex}, *, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,40
29,0,1862,"Provide a comprehensive account of what happened involving Jaxon Howard and cosmic string vibration at Makemake Station on August 12, 2225. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({August 12, 2225}, {Makemake Station}, {Jaxon Howard}, {cosmic string vibration})",Full event details,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Composite,Story full event details,,t|s|ent|c,True,original,False,,,41
26,0,1709,"Consider the events involving both Chloe Castillo and tachyon field surge on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Chloe Castillo}, {tachyon field surge})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,42
18,1,53,"Consider all events involving Zoe Brown at Dyson Swarm Control. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Dyson Swarm Control}, {Zoe Brown}, *)",Times,all,"{'May 07, 2224'}",{4},"{4: 'May 07, 2224'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,43
14,0,1656,"Consider the events involving Chloe Castillo on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, *)","({April 09, 2226}, *, {Chloe Castillo}, *)",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,44
10,"{3,4,5}",185,"Consider all events involving matter synthesizer overload. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {matter synthesizer overload})",Spaces,all,"{'Triton Gas Colony', 'TRAPPIST-1 Colony Network', 'Mercury Twilight Observatory'}","{10, 42, 29}","{10: 'TRAPPIST-1 Colony Network', 29: 'Triton Gas Colony', 42: 'Mercury Twilight Observatory'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,45
13,1,691,"Recall the key events that occurred at Mercury Twilight Observatory on April 09, 2226. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2226}, {Mercury Twilight Observatory}, *, *)",Event contents,all,{'subspace antenna failure'},{46},{46: 'subspace antenna failure'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,46
24,1,752,"Recall what happened involving Benjamin Green at Hydra Cloud Facility on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2226}, {Hydra Cloud Facility}, {Benjamin Green}, *)",Event contents,all,{'cryo-pod integrity breach'},{14},{14: 'cryo-pod integrity breach'},1,1,set(),,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,47
25,1,1311,"Think about the events related to plasma conduit rupture that occurred at Titania Quantum Lab on December 03, 2226. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({December 03, 2226}, {Titania Quantum Lab}, *, {plasma conduit rupture})",Entities,all,{'Ezra Edwards'},{24},{24: 'Ezra Edwards'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,48
35,6+,389,"Enumerate all activities that Henry Reed has been involved in, ordered from earliest to latest in the story's chronology.","(*, *, ent, *)","(*, *, {Henry Reed}, *)",Event contents,chronological,"['cryo-pod integrity breach', 'matter synthesizer overload', 'magnetic confinement rupture', 'magnetic confinement rupture', 'artificial atmosphere toxicity', 'navigation computer blackout', 'fusion core breach']","[38, 10, 47, 48, 11, 3, 37]","{3: 'navigation computer blackout', 10: 'matter synthesizer overload', 11: 'artificial atmosphere toxicity', 37: 'fusion core breach', 38: 'cryo-pod integrity breach', 47: 'magnetic confinement rupture', 48: 'magnetic confinement rupture'}",7,7,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True,original,False,,,49
25,1,1275,"Think about the events related to cryo-pod integrity breach that occurred at Hydra Cloud Facility on April 09, 2226. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2226}, {Hydra Cloud Facility}, *, {cryo-pod integrity breach})",Entities,all,{'Benjamin Green'},{14},{14: 'Benjamin Green'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,50
19,1,880,"Reflect on Ezra Edwards's experiences at Barnard's Star Propulsion Lab. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred.","(*, s, ent, *)","(*, {Barnard's Star Propulsion Lab}, {Ezra Edwards}, *)",Event contents,all,{'digital afterlife server shutdown'},{1},{1: 'digital afterlife server shutdown'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,51
23,1,998,"Reflect on the experiences of Carter Stewart related to antimatter cascade. List all the unique locations where these events took place, without mentioning the events themselves.","(*, *, ent, c)","(*, *, {Carter Stewart}, {antimatter cascade})",Spaces,all,{'Phobos Military Base'},{30},{30: 'Phobos Military Base'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,52
12,0,2638,"Think about what happened at Teegarden's Star Base on August 12, 2225. List all protagonists involved in any events at this time and place, without describing the events.","(t, s, *, *)","({August 12, 2225}, {Teegarden's Star Base}, *, *)",Entities,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,53
10,2,183,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider all events involving magnetic confinement rupture. List all the locations where these events took place, without mentioning the events themselves.
B) Recall what happened involving Lily Nguyen at Sedna Long Range Observatory on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.
Return two lists: only_in_A and only_in_B.","(*, *, *, c)","(*, *, *, {magnetic confinement rupture})",story_diff::set_difference,all,"{""only_in_A"": [""Luna Shackleton Crater Colony"", ""Mercury Twilight Observatory""], ""only_in_B"": [""fusion core breach""]}",,"{""only_in_A"": [""Luna Shackleton Crater Colony"", ""Mercury Twilight Observatory""], ""only_in_B"": [""fusion core breach""]}",2,2,set(),,Spot the Differences,Story-grounded set difference,t|s|ent,c,True,story_synthetic,True,spot_the_differences,Compared q_idx 10 vs 24,54
24,0,2204,"Recall what happened involving Scarlett Thomas at Teegarden's Star Base on August 12, 2225. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({August 12, 2225}, {Teegarden's Star Base}, {Scarlett Thomas}, *)",Event contents,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,55
13,1,714,"Recall the key events that occurred at Sedna Long Range Observatory on April 09, 2226. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2226}, {Sedna Long Range Observatory}, *, *)",Event contents,all,{'fusion core breach'},{23},{23: 'fusion core breach'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,56
13,1,675,"Recall the key events that occurred at Hydra Cloud Facility on April 09, 2226. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2226}, {Hydra Cloud Facility}, *, *)",Event contents,all,{'cryo-pod integrity breach'},{14},{14: 'cryo-pod integrity breach'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,57
26,1,301,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider the events involving both Benjamin Green and cryo-pod integrity breach on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Reflect on the experiences of Brooklyn Ross related to matter synthesizer overload. List all the unique locations where these events took place, without mentioning the events themselves.
Return two lists: only_in_A and only_in_B.","(t, *, ent, c)","({April 09, 2226}, *, {Benjamin Green}, {cryo-pod integrity breach})",story_diff::set_difference,all,"{""only_in_A"": [""Hydra Cloud Facility""], ""only_in_B"": [""Mercury Twilight Observatory""]}",,"{""only_in_A"": [""Hydra Cloud Facility""], ""only_in_B"": [""Mercury Twilight Observatory""]}",1,1,set(),,Spot the Differences,Story-grounded set difference,s,t|ent|c,True,story_synthetic,True,spot_the_differences,Compared q_idx 26 vs 23,58
24,0,2116,"Recall what happened involving Chloe Castillo at Hydra Cloud Facility on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2226}, {Hydra Cloud Facility}, {Chloe Castillo}, *)",Event contents,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,59
16,0,1991,"Recall the events related to cosmic string vibration that occurred on August 12, 2225. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({August 12, 2225}, *, *, {cosmic string vibration})",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,60
16,0,2023,"Recall the events related to tachyon field surge that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({April 09, 2226}, *, *, {tachyon field surge})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",True,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,61
27,0,1536,"Consider all events involving both Isaiah Diaz and psionic field collapse at Ariel Biotech Complex. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Ariel Biotech Complex}, {Isaiah Diaz}, {psionic field collapse})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,62
24,1,816,"Recall what happened involving Lily Nguyen at Sedna Long Range Observatory on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2226}, {Sedna Long Range Observatory}, {Lily Nguyen}, *)",Event contents,all,{'fusion core breach'},{23},{23: 'fusion core breach'},1,1,set(),,Search,Keyed retrieval from episodic event memory,c,t|s|ent,True,original,False,,,63
26,1,351,"Consider the events involving both Scarlett Thomas and subspace antenna failure on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Scarlett Thomas}, {subspace antenna failure})",Spaces,all,{'Mercury Twilight Observatory'},{46},{46: 'Mercury Twilight Observatory'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,64
