q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known
11,0,2291,"Reflect on events related to airport customs breach. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {airport customs breach})",Entities,all,set(),set(),{},0,0,"{'location', 'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,0,2292,"Reflect on events related to airport shutdown. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {airport shutdown})",Entities,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,0,2293,"Reflect on events related to bazaar bombing. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {bazaar bombing})",Entities,all,set(),set(),{},0,0,"{'location', 'content', 'date', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,0,2294,"Reflect on events related to category 5 hurricane. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {category 5 hurricane})",Entities,all,set(),set(),{},0,0,"{'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,0,2295,"Reflect on events related to children's hospital evacuation. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {children's hospital evacuation})",Entities,all,set(),set(),{},0,0,"{'content', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,0,1490,"Consider all events involving airport customs breach. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {airport customs breach})",Spaces,all,set(),set(),{},0,0,"{'location', 'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,0,1491,"Consider all events involving airport shutdown. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {airport shutdown})",Spaces,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,0,1492,"Consider all events involving bazaar bombing. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {bazaar bombing})",Spaces,all,set(),set(),{},0,0,"{'location', 'content', 'date', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,0,1589,"Consider all events involving category 5 hurricane. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {category 5 hurricane})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,0,1590,"Consider all events involving children's hospital evacuation. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {children's hospital evacuation})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,0,1891,"Recall all events related to airport customs breach. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {airport customs breach})",Times,all,set(),set(),{},0,0,"{'location', 'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,0,1893,"Recall all events related to airport shutdown. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {airport shutdown})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,0,1895,"Recall all events related to bazaar bombing. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {bazaar bombing})",Times,all,set(),set(),{},0,0,"{'location', 'content', 'date', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,0,1902,"Recall all events related to category 5 hurricane. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {category 5 hurricane})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,0,1904,"Recall all events related to children's hospital evacuation. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {children's hospital evacuation})",Times,all,set(),set(),{},0,0,"{'content', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,6+,517,"Recall all events related to bridge collapse. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {bridge collapse})",Times,all,"{'October 12, 2024', 'January 03, 2026', 'September 27, 2025', 'September 13, 2025', 'February 27, 2026'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'February 27, 2026', 18: 'January 03, 2026', 19: 'February 27, 2026', 25: 'September 27, 2025', 30: 'January 03, 2026', 33: 'October 12, 2024', 36: 'September 13, 2025'}",5,7,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,6+,557,"Recall all events related to residential tower fire. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {residential tower fire})",Times,all,"{'November 13, 2026', 'September 22, 2026', 'April 09, 2026', 'September 13, 2025', 'February 27, 2026'}","{32, 2, 37, 44, 23, 59}","{2: 'September 22, 2026', 23: 'April 09, 2026', 32: 'September 22, 2026', 37: 'November 13, 2026', 44: 'February 27, 2026', 59: 'September 13, 2025'}",5,6,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,6+,578,"Recall all events related to volcanic eruption. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {volcanic eruption})",Times,all,"{'November 13, 2026', 'January 26, 2025', 'March 23, 2024', 'June 14, 2025', 'April 09, 2026', 'May 31, 2024', 'February 27, 2026', 'July 25, 2024'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'May 31, 2024', 14: 'April 09, 2026', 16: 'March 23, 2024', 17: 'June 14, 2025', 21: 'February 27, 2026', 38: 'March 23, 2024', 41: 'January 26, 2025', 52: 'November 13, 2026', 53: 'July 25, 2024'}",8,9,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,6+,973,"Reflect on events related to bridge collapse. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {bridge collapse})",Entities,all,"{'Jackson Ramos', 'Mila Gonzalez', 'Carter Stewart', 'Noah Williams', 'Samuel Parker'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'Mila Gonzalez', 18: 'Mila Gonzalez', 19: 'Jackson Ramos', 25: 'Samuel Parker', 30: 'Carter Stewart', 33: 'Samuel Parker', 36: 'Noah Williams'}",5,7,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,6+,984,"Reflect on events related to residential tower fire. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {residential tower fire})",Entities,all,"{'Lily Nguyen', 'Chloe Castillo', 'Julian Ross', 'Lillian Mendoza', 'Henry Reed', 'Hazel Lewis'}","{32, 2, 37, 44, 23, 59}","{2: 'Chloe Castillo', 23: 'Lily Nguyen', 32: 'Julian Ross', 37: 'Henry Reed', 44: 'Hazel Lewis', 59: 'Lillian Mendoza'}",6,6,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,6+,990,"Reflect on events related to volcanic eruption. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {volcanic eruption})",Entities,all,"{'Julian Ross', 'Benjamin Green', 'Henry Reed', 'Zoe Brown', 'Lucy Carter', 'Levi Rodriguez'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'Julian Ross', 14: 'Benjamin Green', 16: 'Zoe Brown', 17: 'Zoe Brown', 21: 'Julian Ross', 38: 'Henry Reed', 41: 'Zoe Brown', 52: 'Lucy Carter', 53: 'Levi Rodriguez'}",6,9,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,6+,172,"Consider all events involving bridge collapse. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {bridge collapse})",Spaces,all,"{'Greater Mumbai', 'Rajasthan', 'Maine', 'Louisiana', 'North Dakota', 'Scotland', 'Buenos Aires Province'}","{33, 36, 9, 18, 19, 25, 30}","{9: 'North Dakota', 18: 'Maine', 19: 'Greater Mumbai', 25: 'Rajasthan', 30: 'Buenos Aires Province', 33: 'Louisiana', 36: 'Scotland'}",7,7,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,6+,183,"Consider all events involving residential tower fire. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {residential tower fire})",Spaces,all,"{'Greater Mumbai', 'Rajasthan', 'Antioquia Department', 'Minas Gerais', 'Vermont', 'Buenos Aires Province'}","{32, 2, 37, 44, 23, 59}","{2: 'Vermont', 23: 'Minas Gerais', 32: 'Greater Mumbai', 37: 'Antioquia Department', 44: 'Rajasthan', 59: 'Buenos Aires Province'}",6,6,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,6+,189,"Consider all events involving volcanic eruption. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {volcanic eruption})",Spaces,all,"{'Nairobi County', 'Greater Mumbai', 'Rajasthan', 'Kampong Cham Province', 'Dodoma Region', 'North Dakota', 'Scotland', 'Buenos Aires Province'}","{6, 38, 41, 14, 16, 17, 52, 21, 53}","{6: 'Scotland', 14: 'Nairobi County', 16: 'Kampong Cham Province', 17: 'Greater Mumbai', 21: 'Dodoma Region', 38: 'Buenos Aires Province', 41: 'Rajasthan', 52: 'North Dakota', 53: 'Nairobi County'}",8,9,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,"{3,4,5}",523,"Recall all events related to factory explosion. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {factory explosion})",Times,all,"{'October 12, 2024', 'December 26, 2026', 'May 11, 2026', 'April 09, 2026'}","{43, 46, 15, 49, 28}","{15: 'December 26, 2026', 28: 'October 12, 2024', 43: 'May 11, 2026', 46: 'April 09, 2026', 49: 'December 26, 2026'}",4,5,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,"{3,4,5}",530,"Recall all events related to flash flood emergency. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {flash flood emergency})",Times,all,"{'December 03, 2026', 'May 14, 2025', 'May 11, 2026'}","{24, 40, 51}","{24: 'December 03, 2026', 40: 'May 11, 2026', 51: 'May 14, 2025'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,"{3,4,5}",545,"Recall all events related to police force strike. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {police force strike})",Times,all,"{'October 27, 2024', 'October 13, 2024'}","{10, 42, 29}","{10: 'October 13, 2024', 29: 'October 27, 2024', 42: 'October 13, 2024'}",2,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,"{3,4,5}",583,"Recall all events related to vote counting disruption. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {vote counting disruption})",Times,all,"{'September 27, 2025', 'September 13, 2025', 'May 11, 2026'}","{8, 1, 56, 12}","{1: 'September 13, 2025', 8: 'September 27, 2025', 12: 'May 11, 2026', 56: 'September 13, 2025'}",3,4,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,"{3,4,5}",173,"Consider all events involving factory explosion. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {factory explosion})",Spaces,all,"{'Greater Mumbai', 'Luzon Region', 'Dodoma Region', 'Vermont', 'Luang Prabang Province'}","{43, 46, 15, 49, 28}","{15: 'Vermont', 28: 'Luang Prabang Province', 43: 'Dodoma Region', 46: 'Greater Mumbai', 49: 'Luzon Region'}",5,5,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,"{3,4,5}",175,"Consider all events involving flash flood emergency. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {flash flood emergency})",Spaces,all,"{'Ontario', 'Luang Prabang Province', 'Buenos Aires Province'}","{24, 40, 51}","{24: 'Ontario', 40: 'Luang Prabang Province', 51: 'Buenos Aires Province'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,"{3,4,5}",180,"Consider all events involving police force strike. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {police force strike})",Spaces,all,"{'Greater Mumbai', 'Vermont', 'New South Wales'}","{10, 42, 29}","{10: 'New South Wales', 29: 'Vermont', 42: 'Greater Mumbai'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,"{3,4,5}",190,"Consider all events involving vote counting disruption. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {vote counting disruption})",Spaces,all,"{'Greater Mumbai', 'Nairobi County', 'Split-Dalmatia County', 'Vermont'}","{8, 1, 56, 12}","{1: 'Split-Dalmatia County', 8: 'Nairobi County', 12: 'Greater Mumbai', 56: 'Vermont'}",4,4,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,"{3,4,5}",974,"Reflect on events related to factory explosion. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {factory explosion})",Entities,all,"{'Zoe Brown', 'Scarlett Thomas', 'Bella Alvarez', 'Levi Rodriguez'}","{43, 46, 15, 49, 28}","{15: 'Levi Rodriguez', 28: 'Zoe Brown', 43: 'Bella Alvarez', 46: 'Scarlett Thomas', 49: 'Zoe Brown'}",4,5,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,"{3,4,5}",976,"Reflect on events related to flash flood emergency. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {flash flood emergency})",Entities,all,"{'Julian Ross', 'Samuel Parker', 'Ezra Edwards'}","{24, 40, 51}","{24: 'Ezra Edwards', 40: 'Samuel Parker', 51: 'Julian Ross'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,"{3,4,5}",981,"Reflect on events related to police force strike. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {police force strike})",Entities,all,"{'Julian Ross', 'Brooklyn Ross', 'Henry Reed'}","{10, 42, 29}","{10: 'Henry Reed', 29: 'Julian Ross', 42: 'Brooklyn Ross'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,"{3,4,5}",991,"Reflect on events related to vote counting disruption. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {vote counting disruption})",Entities,all,"{'Chloe Castillo', 'Owen Thomas', 'Carter Stewart', 'Ezra Edwards'}","{8, 1, 56, 12}","{1: 'Ezra Edwards', 8: 'Owen Thomas', 12: 'Chloe Castillo', 56: 'Carter Stewart'}",4,4,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,2,174,"Consider all events involving fishing fleet loss. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {fishing fleet loss})",Spaces,all,"{'Minas Gerais', 'Sichuan Province'}","{26, 60}","{26: 'Minas Gerais', 60: 'Sichuan Province'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,2,177,"Consider all events involving magnitude 9.0 earthquake. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {magnitude 9.0 earthquake})",Spaces,all,"{'Nairobi County', 'Luang Prabang Province'}","{50, 55}","{50: 'Luang Prabang Province', 55: 'Nairobi County'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,2,178,"Consider all events involving nuclear plant meltdown. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {nuclear plant meltdown})",Spaces,all,"{'Kampong Cham Province', 'Split-Dalmatia County'}","{57, 3}","{3: 'Kampong Cham Province', 57: 'Split-Dalmatia County'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,2,179,"Consider all events involving opera house fire. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {opera house fire})",Spaces,all,"{'Greater Mumbai', 'Dodoma Region'}","{34, 39}","{34: 'Greater Mumbai', 39: 'Dodoma Region'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,2,182,"Consider all events involving produce contamination outbreak. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {produce contamination outbreak})",Spaces,all,"{'Bagmati Province', 'Tuscany'}","{35, 4}","{4: 'Tuscany', 35: 'Bagmati Province'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,2,526,"Recall all events related to fishing fleet loss. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {fishing fleet loss})",Times,all,"{'June 14, 2025'}","{26, 60}","{26: 'June 14, 2025', 60: 'June 14, 2025'}",1,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,2,535,"Recall all events related to magnitude 9.0 earthquake. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {magnitude 9.0 earthquake})",Times,all,"{'September 22, 2026', 'May 28, 2025'}","{50, 55}","{50: 'September 22, 2026', 55: 'May 28, 2025'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,2,538,"Recall all events related to nuclear plant meltdown. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {nuclear plant meltdown})",Times,all,"{'September 22, 2026', 'November 13, 2026'}","{57, 3}","{3: 'September 22, 2026', 57: 'November 13, 2026'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,2,541,"Recall all events related to opera house fire. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {opera house fire})",Times,all,"{'October 09, 2025', 'November 13, 2026'}","{34, 39}","{34: 'October 09, 2025', 39: 'November 13, 2026'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,2,550,"Recall all events related to produce contamination outbreak. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {produce contamination outbreak})",Times,all,"{'May 07, 2024', 'November 13, 2026'}","{35, 4}","{4: 'May 07, 2024', 35: 'November 13, 2026'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,2,975,"Reflect on events related to fishing fleet loss. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {fishing fleet loss})",Entities,all,"{'Noah Williams', 'Mila Gonzalez'}","{26, 60}","{26: 'Mila Gonzalez', 60: 'Noah Williams'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,2,978,"Reflect on events related to magnitude 9.0 earthquake. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {magnitude 9.0 earthquake})",Entities,all,"{'Carter Stewart', 'Levi Rodriguez'}","{50, 55}","{50: 'Carter Stewart', 55: 'Levi Rodriguez'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,2,979,"Reflect on events related to nuclear plant meltdown. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {nuclear plant meltdown})",Entities,all,"{'Zoe Brown', 'Henry Reed'}","{57, 3}","{3: 'Henry Reed', 57: 'Zoe Brown'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,2,980,"Reflect on events related to opera house fire. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {opera house fire})",Entities,all,"{'Lucy Carter', 'Olivia Turner'}","{34, 39}","{34: 'Lucy Carter', 39: 'Olivia Turner'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,2,983,"Reflect on events related to produce contamination outbreak. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {produce contamination outbreak})",Entities,all,"{'Zoe Brown', 'Lillian Mendoza'}","{35, 4}","{4: 'Zoe Brown', 35: 'Lillian Mendoza'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
33,1,426,"Provide a chronological list of all dates when Bella Alvarez was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Times,chronological,"['May 11, 2026']",[43],"{43: 'May 11, 2026'}",1,1,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True
33,1,428,"Provide a chronological list of all dates when Brooklyn Ross was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Times,chronological,"['October 13, 2024']",[42],"{42: 'October 13, 2024'}",1,1,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True
33,1,434,"Provide a chronological list of all dates when Jackson Ramos was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Times,chronological,"['February 27, 2026']",[19],"{19: 'February 27, 2026'}",1,1,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True
33,1,438,"Provide a chronological list of all dates when Lily Nguyen was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Lily Nguyen}, *)",Times,chronological,"['April 09, 2026']",[23],"{23: 'April 09, 2026'}",1,1,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True
33,1,439,"Provide a chronological list of all dates when Logan Diaz was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Times,chronological,"['March 23, 2024']",[5],"{5: 'March 23, 2024'}",1,1,set(),,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True
6,1,950,"Reflect on all events involving Bella Alvarez. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, *)","(*, *, {Bella Alvarez}, *)",Times,all,"{'May 11, 2026'}",{43},"{43: 'May 11, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True
6,1,952,"Reflect on all events involving Brooklyn Ross. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, *)","(*, *, {Brooklyn Ross}, *)",Times,all,"{'October 13, 2024'}",{42},"{42: 'October 13, 2024'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True
6,1,958,"Reflect on all events involving Jackson Ramos. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, *)","(*, *, {Jackson Ramos}, *)",Times,all,"{'February 27, 2026'}",{19},"{19: 'February 27, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True
